Date,Model,Player,Exact Prediction,Betting Line,Standard Deviation Estimate (RMSE),Probability Over Line,Probability Under Line,Implied Probability Over (from odds),Implied Probability Under (from odds),Edge Over,Edge Under,Result,Max Edge,Edge CDF,Implied Probability Over,Implied Probability Under,Bet Over,Bet Under
2024-11-26,CONSENSUS PICK,Devin Booker,5.17209664517369,3.5,2.837876382540085,72.21%,27.79%,50.50%,55.56%,0.2171882957878537,-0.2776943463929142,,0.2171882957878537,15,0.505,0.5556,0.98,0.8
2024-11-26,CONSENSUS PICK,Bam Adebayo,9.024486928293053,10.5,2.837876382540085,30.16%,69.84%,50.98%,54.95%,-0.2082497044852652,0.1488962333670882,,0.1488962333670882,45,0.5097999999999999,0.5495,0.96,0.8200000000000001
2024-11-26,CONSENSUS PICK,Bobby Portis,6.388257670518097,7.5,2.837876382540085,34.76%,65.24%,53.05%,53.05%,-0.1828955150184892,0.1218626511687239,,0.1218626511687239,69,0.5305,0.5305,0.8899999999999999,0.8899999999999999
2024-11-26,CONSENSUS PICK,Zach LaVine,3.887582789638053,4.5,2.837876382540085,41.46%,58.54%,58.68%,47.17%,-0.1722055142587608,0.1137305415470814,,0.1137305415470814,72,0.5868,0.4717,0.7,1.12
2024-11-26,CONSENSUS PICK,Jaden McDaniels,3.03360000782359,3.5,2.837876382540085,43.47%,56.53%,59.35%,46.73%,-0.1587674314710219,0.097981776885504,,0.097981776885504,85,0.5935,0.4673,0.6799999999999999,1.1400000000000001
2024-11-26,CONSENSUS PICK,Kyle Kuzma,5.652465296942721,6.5,2.837876382540085,38.26%,61.74%,53.49%,52.61%,-0.152280558221695,0.091330486580562,,0.091330486580562,87,0.5349,0.5261,0.8700000000000001,0.8999999999999999
2024-11-26,CONSENSUS PICK,Rudy Gobert,12.234944052810368,11.5,2.837876382540085,60.22%,39.78%,51.46%,54.55%,0.087610310310753,-0.1476279625614149,,0.087610310310753,90,0.5146000000000001,0.5455,0.94,0.8300000000000001
2024-11-26,CONSENSUS PICK,Julian Champagnie,3.8203654819413058,4.5,2.837876382540085,40.54%,59.46%,53.05%,53.05%,-0.1251524463657909,0.0641195825160256,,0.0641195825160256,94,0.5305,0.5305,0.8899999999999999,0.8899999999999999
2024-11-26,CONSENSUS PICK,Coby White,3.8273021198132855,3.5,2.837876382540085,54.59%,45.41%,48.54%,57.63%,0.060472700215544,-0.1221807798601055,,0.060472700215544,96,0.4854,0.5763,1.06,0.74
2024-11-26,CONSENSUS PICK,LeBron James,7.794286742703484,7.5,2.837876382540085,54.13%,45.87%,49.02%,56.90%,0.0511000630801816,-0.1102616587529334,,0.0511000630801816,98,0.4902,0.569,1.04,0.76
