Date,Model,Player,Exact Prediction,Betting Line,Standard Deviation Estimate (RMSE),Probability Over Line,Probability Under Line,Implied Probability Over (from odds),Implied Probability Under (from odds),Edge Over,Edge Under,Result
2024-10-28,CONSENSUS PICK,Pascal Siakam,8.545965407297812,6.5,2.837876382540085,76.45%,23.55%,56.14%,50.00%,0.2031261818327054,-0.2645296906046353,
2024-10-28,CONSENSUS PICK,Dyson Daniels,4.166948098479745,5.5,2.837876382540085,31.93%,68.07%,56.52%,49.50%,-0.2459454686086987,0.1856785723538558,
2024-10-28,CONSENSUS PICK,Bobby Portis,6.259062524745754,7.5,2.837876382540085,33.10%,66.90%,59.35%,46.73%,-0.2625406221652022,0.2017549675796844,
2024-10-28,CONSENSUS PICK,Brook Lopez,5.934077816563608,4.5,2.837876382540085,69.33%,30.67%,46.73%,59.35%,0.2260484432751483,-0.2868340978606661,
2024-10-28,CONSENSUS PICK,Jalen Brunson,5.009352649084384,3.5,2.837876382540085,70.26%,29.74%,50.50%,55.56%,0.1976379888013746,-0.2581440394064351,
2024-10-28,CONSENSUS PICK,Naji Marshall,4.604844687745926,3.5,2.837876382540085,65.15%,34.85%,45.87%,60.00%,0.1927650279871439,-0.2514806243174191,
2024-10-28,CONSENSUS PICK,Devin Booker,5.17209664517369,3.5,2.837876382540085,72.21%,27.79%,50.50%,55.56%,0.2171882957878537,-0.2776943463929142,
