Date,Model,Player,Exact Prediction,Betting Line,Standard Deviation Estimate (RMSE),Probability Over Line,Probability Under Line,Implied Probability Over (from odds),Implied Probability Under (from odds),Edge Over,Edge Under,Result,Max Edge,Edge CDF,Implied Probability Over,Implied Probability Under,Bet Over,Bet Under
2024-11-13,CONSENSUS PICK,Josh Hart,5.955472819736979,10.5,2.837876382540085,5.46%,94.54%,47.17%,59.18%,-0.417052062594207,0.3535172146927823,,0.3535172146927823,11,0.4717,0.5918,1.12,0.69
2024-11-13,CONSENSUS PICK,Cade Cunningham,4.257569108065503,6.5,2.837876382540085,21.47%,78.53%,46.95%,59.51%,-0.2547720075193226,0.1901467390393469,,0.1901467390393469,38,0.46950000000000003,0.5951,1.13,0.6799999999999999
2024-11-13,CONSENSUS PICK,Evan Mobley,8.524415501653918,10.5,2.837876382540085,24.32%,75.68%,48.31%,58.16%,-0.239923992140314,0.1752422465417047,,0.1752422465417047,46,0.48310000000000003,0.5816,1.0699999999999998,0.72
2024-11-13,CONSENSUS PICK,Santi Aldama,5.686564122271089,6.5,2.837876382540085,38.72%,61.28%,56.52%,50.00%,-0.1780216444772129,0.1128042531728651,,0.1128042531728651,74,0.5652,0.5,0.77,1.0
2024-11-13,CONSENSUS PICK,Dillon Brooks,3.901222312503935,2.5,2.837876382540085,68.93%,31.07%,58.16%,48.31%,0.1076712619681823,-0.1723530075667916,,0.1076712619681823,77,0.5816,0.48310000000000003,0.72,1.0699999999999998
2024-11-13,CONSENSUS PICK,Caleb Martin,3.938587157843464,4.5,2.837876382540085,42.16%,57.84%,59.18%,47.17%,-0.1702471131304723,0.1067122652290476,,0.1067122652290476,79,0.5918,0.4717,0.69,1.12
2024-11-13,CONSENSUS PICK,Marcus Smart,2.926194577899507,2.5,2.837876382540085,55.97%,44.03%,46.95%,59.51%,0.0902054497038183,-0.154830718183794,,0.0902054497038183,91,0.46950000000000003,0.5951,1.13,0.6799999999999999
2024-11-13,CONSENSUS PICK,Chris Paul,3.4297007497008463,3.5,2.837876382540085,49.01%,50.99%,62.55%,43.86%,-0.1353496646949563,0.0712850086728787,,0.0712850086728787,97,0.6255,0.4386,0.6000000000000001,1.2799999999999998
