Date,Model,Player,Exact Prediction,Betting Line,Standard Deviation Estimate (RMSE),Probability Over Line,Probability Under Line,Implied Probability Over (from odds),Implied Probability Under (from odds),Edge Over,Edge Under,Result,Max Edge,Edge CDF,Implied Probability Over,Implied Probability Under,Bet Over,Bet Under
2024-11-29,CONSENSUS PICK,Bennedict Mathurin,3.9744595499226336,6.5,2.837876382540085,18.67%,81.33%,45.87%,60.00%,-0.2719666144384625,0.2132510181081872,,0.2132510181081872,25,0.4587,0.6,1.1800000000000002,0.6699999999999999
2024-11-29,CONSENSUS PICK,Jayson Tatum,6.79565324388039,8.5,2.837876382540085,27.41%,72.59%,52.61%,53.49%,-0.2520035302029598,0.1910534585618268,,0.1910534585618268,29,0.5261,0.5349,0.8999999999999999,0.8700000000000001
2024-11-29,CONSENSUS PICK,Dyson Daniels,3.2563667913585115,4.5,2.837876382540085,33.06%,66.94%,54.95%,50.00%,-0.2189385726766277,0.1693890231270781,,0.1693890231270781,41,0.5495,0.5,0.8200000000000001,1.0
2024-11-29,CONSENSUS PICK,Jonathan Isaac,4.831362105407194,6.5,2.837876382540085,27.83%,72.17%,46.73%,59.35%,-0.1890196211348176,0.1282339665492998,,0.1282339665492998,65,0.4673,0.5935,1.1400000000000001,0.6799999999999999
2024-11-29,CONSENSUS PICK,Bam Adebayo,8.584893253730607,9.5,2.837876382540085,37.36%,62.64%,55.56%,50.50%,-0.1820041218863518,0.1214980712812913,,0.1214980712812913,67,0.5556,0.505,0.8,0.98
2024-11-29,CONSENSUS PICK,Jrue Holiday,4.8635552682134096,4.5,2.837876382540085,55.10%,44.90%,46.73%,59.35%,0.0836786115480076,-0.1444642661335254,,0.0836786115480076,84,0.4673,0.5935,1.1400000000000001,0.6799999999999999
2024-11-29,CONSENSUS PICK,Coby White,4.199625648935554,3.5,2.837876382540085,59.74%,40.26%,53.05%,53.05%,0.0668481192854312,-0.1278809831351964,,0.0668481192854312,92,0.5305,0.5305,0.8899999999999999,0.8899999999999999
2024-11-29,CONSENSUS PICK,Jaren Jackson Jr.,6.555546961337807,5.5,2.837876382540085,64.50%,35.50%,57.98%,47.17%,0.0652028767196478,-0.1167329227003043,,0.0652028767196478,93,0.5798,0.4717,0.72,1.12
2024-11-29,CONSENSUS PICK,Tyrese Haliburton,3.993124290147797,3.5,2.837876382540085,56.90%,43.10%,50.50%,55.56%,0.0640245260375627,-0.1245305766426232,,0.0640245260375627,94,0.505,0.5556,0.98,0.8
2024-11-29,CONSENSUS PICK,Franz Wagner,5.43675097760579,5.5,2.837876382540085,49.11%,50.89%,43.86%,62.12%,0.052512839480411,-0.1123214519206023,,0.052512839480411,99,0.4386,0.6212,1.2799999999999998,0.6100000000000001
