Date,Model,Player,Exact Prediction,Betting Line,Standard Deviation Estimate (RMSE),Probability Over Line,Probability Under Line,Implied Probability Over (from odds),Implied Probability Under (from odds),Edge Over,Edge Under,Result,Max Edge,Edge CDF,Implied Probability Over,Implied Probability Under,Bet Over,Bet Under
2024-11-24,CONSENSUS PICK,Jrue Holiday,5.376296778491053,3.5,2.837876382540085,74.57%,25.43%,54.55%,50.50%,0.2002913257429028,-0.2506963662469532,,0.2002913257429028,34,0.5455,0.505,0.8300000000000001,0.98
2024-11-24,CONSENSUS PICK,Myles Turner,6.892421396824733,8.5,2.837876382540085,28.55%,71.45%,53.27%,51.46%,-0.2471739303178649,0.1999005431479167,,0.1999005431479167,38,0.5327000000000001,0.5146000000000001,0.8799999999999999,0.94
2024-11-24,CONSENSUS PICK,Daniel Gafford,8.103746753550846,6.5,2.837876382540085,71.40%,28.60%,52.38%,52.38%,0.1901951285156057,-0.2378141761346534,,0.1901951285156057,43,0.5238,0.5238,0.9099999999999999,0.9099999999999999
2024-11-24,CONSENSUS PICK,Rudy Gobert,12.097691337634863,10.5,2.837876382540085,71.33%,28.67%,56.52%,48.54%,0.1480611996792579,-0.1987154841874892,,0.1480611996792579,63,0.5652,0.4854,0.77,1.06
2024-11-24,CONSENSUS PICK,Naz Reid,6.026600582164266,4.5,2.837876382540085,70.47%,29.53%,60.63%,44.25%,0.0983907437965322,-0.1471678325011521,,0.0983907437965322,79,0.6063000000000001,0.4425,0.6499999999999999,1.2599999999999998
2024-11-24,CONSENSUS PICK,Keegan Murray,5.972117707490493,6.5,2.837876382540085,42.62%,57.38%,56.52%,49.50%,-0.1390001622377888,0.078733265982946,,0.078733265982946,87,0.5652,0.495,0.77,1.02
2024-11-24,CONSENSUS PICK,Anthony Edwards,5.74751224530601,5.5,2.837876382540085,53.48%,46.52%,45.87%,59.02%,0.076035055639792,-0.1249145863962968,,0.076035055639792,90,0.4587,0.5902000000000001,1.1800000000000002,0.69
2024-11-24,CONSENSUS PICK,Kyle Kuzma,5.951373574284922,6.5,2.837876382540085,42.34%,57.66%,54.13%,50.98%,-0.1179313480083822,0.06684302277003,,0.06684302277003,94,0.5413,0.5097999999999999,0.8500000000000001,0.96
2024-11-24,CONSENSUS PICK,Andre Drummond,9.061675244671036,8.5,2.837876382540085,57.84%,42.16%,51.22%,53.49%,0.0662514293007607,-0.1133302721822127,,0.0662514293007607,95,0.5122,0.5349,0.95,0.8700000000000001
2024-11-24,CONSENSUS PICK,Cam Thomas,3.5402323094795207,3.5,2.837876382540085,50.57%,49.43%,44.25%,61.83%,0.0631777020430548,-0.1239761888362724,,0.0631777020430548,97,0.4425,0.6183,1.2599999999999998,0.6200000000000001
