Date,Model,Player,Exact Prediction,Betting Line,Standard Deviation Estimate (RMSE),Probability Over Line,Probability Under Line,Implied Probability Over (from odds),Implied Probability Under (from odds),Edge Over,Edge Under,Result
2024-11-11,CONSENSUS PICK,Nicolas Claxton,8.775013103270556,9.5,2.837876382540085,39.92%,60.08%,54.95%,51.46%,-0.1503687613750358,0.0862561050293697,
2024-11-11,CONSENSUS PICK,Jose Alvarado,2.3918951650069182,3.5,2.837876382540085,34.81%,65.19%,53.49%,52.83%,-0.1867891050573793,0.123603497334694,
2024-11-11,CONSENSUS PICK,Cam Thomas,3.537125351506484,3.5,2.837876382540085,50.52%,49.48%,45.05%,61.39%,0.0547683991212278,-0.1191184634712922,
2024-11-11,CONSENSUS PICK,Jalen Wilson,3.6490307663089774,3.5,2.837876382540085,52.09%,47.91%,45.45%,60.94%,0.0663953298884127,-0.1303157844338672,
2024-11-11,CONSENSUS PICK,Ziaire Williams,3.640418233905254,3.5,2.837876382540085,51.97%,48.03%,45.87%,60.63%,0.0610160315030416,-0.1260308404317421,
2024-11-11,CONSENSUS PICK,Isaac Okoro,2.892446184791796,2.5,2.837876382540085,55.50%,44.50%,47.17%,59.18%,0.0832957518041257,-0.1468305997055504,
2024-11-11,CONSENSUS PICK,Ayo Dosunmu,2.091127011535178,3.5,2.837876382540085,30.98%,69.02%,47.85%,58.51%,-0.1686815722501277,0.1051504320646962,
2024-11-11,CONSENSUS PICK,Alperen Sengun,9.51479610619304,10.5,2.837876382540085,36.42%,63.58%,53.49%,52.83%,-0.170649051741851,0.1074634440191657,
2024-11-11,CONSENSUS PICK,Jalen Williams,4.883763588560747,5.5,2.837876382540085,41.40%,58.60%,54.13%,52.38%,-0.1272375195924081,0.0621435921131595,
2024-11-11,CONSENSUS PICK,DeMar DeRozan,4.992130006971776,3.5,2.837876382540085,70.05%,29.95%,62.55%,43.86%,0.0750151388558977,-0.1390797948779753,
