Date,Model,Player,Exact Prediction,Betting Line,Standard Deviation Estimate (RMSE),Probability Over Line,Probability Under Line,Implied Probability Over (from odds),Implied Probability Under (from odds),Edge Over,Edge Under,Result,Max Edge,Edge CDF,Implied Probability Over,Implied Probability Under,Bet Over,Bet Under
2024-11-19,CONSENSUS PICK,Christian Braun,3.707783847970442,5.5,2.837876382540085,26.38%,73.62%,49.26%,57.08%,-0.228765208619553,0.1653389205373525,,0.1653389205373525,42,0.4926,0.5708,1.0299999999999998,0.75
2024-11-19,CONSENSUS PICK,LaMelo Ball,4.147839885610632,5.5,2.837876382540085,31.69%,68.31%,54.13%,52.38%,-0.2244142589730829,0.1593203314938344,,0.1593203314938344,47,0.5413,0.5238,0.8500000000000001,0.9099999999999999
2024-11-19,CONSENSUS PICK,Jrue Holiday,5.200381521365637,4.5,2.837876382540085,59.75%,40.25%,46.08%,60.32%,0.1366381330688284,-0.2006422293309891,,0.1366381330688284,56,0.4608,0.6032,1.17,0.6599999999999999
2024-11-19,CONSENSUS PICK,Isaac Okoro,3.3312263575658405,2.5,2.837876382540085,61.52%,38.48%,49.26%,57.08%,0.122591533408049,-0.1860178214902494,,0.122591533408049,64,0.4926,0.5708,1.0299999999999998,0.75
2024-11-19,CONSENSUS PICK,Luguentz Dort,3.6896512971130417,4.5,2.837876382540085,38.76%,61.24%,57.45%,49.02%,-0.1868557522922665,0.122191588754511,,0.122191588754511,67,0.5745,0.4902,0.74,1.04
2024-11-19,CONSENSUS PICK,Desmond Bane,4.001870923532291,5.5,2.837876382540085,29.88%,70.12%,48.31%,58.16%,-0.1843091435870993,0.1196273979884899,,0.1196273979884899,71,0.48310000000000003,0.5816,1.0699999999999998,0.72
2024-11-19,CONSENSUS PICK,Grant Williams,4.211979837702802,5.5,2.837876382540085,32.50%,67.50%,47.85%,58.51%,-0.1535068396148135,0.089975699429382,,0.089975699429382,84,0.47850000000000004,0.5851,1.0899999999999999,0.71
2024-11-19,CONSENSUS PICK,Cam Reddish,2.8677387269811,2.5,2.837876382540085,55.16%,44.84%,46.51%,59.84%,0.0864352919167191,-0.1499451452836753,,0.0864352919167191,87,0.46509999999999996,0.5984,1.15,0.6699999999999999
2024-11-19,CONSENSUS PICK,Brandon Miller,4.207295396773027,4.5,2.837876382540085,45.89%,54.11%,60.32%,46.30%,-0.1442495173586616,0.0781119512210955,,0.0781119512210955,89,0.6032,0.46299999999999997,0.6599999999999999,1.1600000000000001
2024-11-19,CONSENSUS PICK,Jamal Murray,3.764821138396435,4.5,2.837876382540085,39.78%,60.22%,53.49%,52.83%,-0.1370890580056007,0.0739034502829154,,0.0739034502829154,91,0.5349,0.5283,0.8700000000000001,0.8899999999999999
