Date,Model,Player,Exact Prediction,Betting Line,Standard Deviation Estimate (RMSE),Probability Over Line,Probability Under Line,Implied Probability Over (from odds),Implied Probability Under (from odds),Edge Over,Edge Under,Result
2024-10-30,CONSENSUS PICK,LaMelo Ball,4.31429294399812,5.5,2.837876382540085,33.80%,66.20%,59.02%,45.87%,-0.2521227088444391,0.2032431780879343,
2024-10-30,CONSENSUS PICK,Anthony Davis,10.921547985254556,12.5,2.837876382540085,28.90%,71.10%,53.49%,51.22%,-0.245849682661459,0.1987708397800069,
2024-10-30,CONSENSUS PICK,Mikal Bridges,5.936760014775196,3.5,2.837876382540085,80.47%,19.53%,59.68%,45.45%,0.2079606821960448,-0.2592803302898864,
2024-10-30,CONSENSUS PICK,Jeremy Sochan,5.339444996724947,7.5,2.837876382540085,22.32%,77.68%,49.02%,56.14%,-0.2669655147937927,0.2153659275904904,
2024-10-30,CONSENSUS PICK,Chet Holmgren,7.664296205414067,9.5,2.837876382540085,25.89%,74.11%,52.38%,52.38%,-0.2649476845066031,0.2173286368875554,
2024-10-30,CONSENSUS PICK,Scoot Henderson,4.207335888806728,2.5,2.837876382540085,72.63%,27.37%,55.56%,50.50%,0.1707323777785252,-0.2312384283835857,
2024-10-30,CONSENSUS PICK,Anfernee Simons,4.293177777530031,2.5,2.837876382540085,73.63%,26.37%,55.56%,50.50%,0.1807095468379171,-0.2412155974429777,
