Date,Model,Player,Exact Prediction,Betting Line,Standard Deviation Estimate (RMSE),Probability Over Line,Probability Under Line,Implied Probability Over (from odds),Implied Probability Under (from odds),Edge Over,Edge Under,Result
2024-11-02,CONSENSUS PICK,Jayson Tatum,6.826521767327026,8.5,2.837876382540085,27.77%,72.23%,54.55%,51.92%,-0.2677565838839123,0.2030712691985976,
2024-11-02,CONSENSUS PICK,Kyle Lowry,3.4187686334561054,2.5,2.837876382540085,62.69%,37.31%,43.48%,62.83%,0.1921545557205637,-0.2551899525203052,
2024-11-02,CONSENSUS PICK,Eric Gordon,2.394709293229809,1.5,2.837876382540085,62.37%,37.63%,44.25%,62.12%,0.1812453993957299,-0.2449353967140458,
2024-11-02,CONSENSUS PICK,Tari Eason,6.856784920710745,5.5,2.837876382540085,68.37%,31.63%,43.86%,62.55%,0.2451135190151013,-0.3091781750371788,
2024-11-02,CONSENSUS PICK,Jerami Grant,4.3949307644956805,3.5,2.837876382540085,62.38%,37.62%,43.86%,62.55%,0.1851564083400875,-0.2492210643621651,
