Date,Model,Player,Exact Prediction,Betting Line,Standard Deviation Estimate (RMSE),Probability Over Line,Probability Under Line,Implied Probability Over (from odds),Implied Probability Under (from odds),Edge Over,Edge Under,Result,Max Edge,Edge CDF,Implied Probability Over,Implied Probability Under,Bet Over,Bet Under
2024-12-03,CONSENSUS PICK,Brandon Miller,4.278241358723157,5.5,2.837876382540085,33.34%,66.66%,54.13%,50.98%,-0.2078751934032686,0.1567868681649165,,0.1567868681649165,51,0.5413,0.5097999999999999,0.8500000000000001,0.96
2024-12-03,CONSENSUS PICK,Jordan Poole,3.363564770327914,2.5,2.837876382540085,61.96%,38.04%,46.73%,58.33%,0.1522604718498439,-0.2028835248093455,,0.1522604718498439,53,0.4673,0.5832999999999999,1.1400000000000001,0.71
2024-12-03,CONSENSUS PICK,Jonathan Kuminga,5.3886267213849735,4.5,2.837876382540085,62.29%,37.71%,50.50%,54.55%,0.117958889380892,-0.1683639298849424,,0.117958889380892,69,0.505,0.5455,0.98,0.8300000000000001
2024-12-03,CONSENSUS PICK,Norman Powell,3.3405969166018425,2.5,2.837876382540085,61.65%,38.35%,50.00%,54.95%,0.1164637382397757,-0.1660132877893253,,0.1164637382397757,71,0.5,0.5495,1.0,0.8200000000000001
2024-12-03,CONSENSUS PICK,Andrew Wiggins,5.063564809823418,4.5,2.837876382540085,57.87%,42.13%,46.30%,58.68%,0.1157440498080351,-0.1654838722751304,,0.1157440498080351,73,0.46299999999999997,0.5868,1.1600000000000001,0.7
2024-12-03,CONSENSUS PICK,Aaron Gordon,5.977308515671793,5.5,2.837876382540085,56.68%,43.32%,47.17%,58.33%,0.0950858265933434,-0.1501172731342239,,0.0950858265933434,81,0.4717,0.5832999999999999,1.12,0.71
2024-12-03,CONSENSUS PICK,Royce O'Neale,4.379506766765489,5.5,2.837876382540085,34.65%,65.35%,47.62%,57.26%,-0.1297081852942424,0.0808681364541936,,0.0808681364541936,86,0.47619999999999996,0.5726,1.1,0.75
2024-12-03,CONSENSUS PICK,Grayson Allen,3.691532325105619,3.5,2.837876382540085,52.69%,47.31%,44.64%,60.32%,0.0804761849827166,-0.1300793595858912,,0.0804761849827166,87,0.4464,0.6032,1.2400000000000002,0.6599999999999999
2024-12-03,CONSENSUS PICK,Domantas Sabonis,12.13102753849238,12.5,2.837876382540085,44.83%,55.17%,56.14%,49.02%,-0.1131270604999684,0.0615274732966661,,0.0615274732966661,95,0.5614,0.4902,0.78,1.04
2024-12-03,CONSENSUS PICK,Cody Martin,3.893625952354571,4.5,2.837876382540085,41.54%,58.46%,51.46%,53.27%,-0.0991615901653318,0.0518882029953836,,0.0518882029953836,98,0.5146000000000001,0.5327000000000001,0.94,0.8799999999999999
