Date,Model,Player,Exact Prediction,Betting Line,Standard Deviation Estimate (RMSE),Probability Over Line,Probability Under Line,Implied Probability Over (from odds),Implied Probability Under (from odds),Edge Over,Edge Under,Result
2024-10-26,CONSENSUS PICK,Jayson Tatum,6.912790929174348,8.5,2.837876382540085,28.80%,71.20%,56.14%,50.00%,-0.2734231849036559,0.2120196761317261,
2024-10-26,CONSENSUS PICK,Chet Holmgren,8.092444324303898,10.5,2.837876382540085,19.81%,80.19%,46.30%,59.68%,-0.2648456653308048,0.2051085088194547,
2024-10-26,CONSENSUS PICK,Nikola Vucevic,9.082174630060171,10.5,2.837876382540085,30.87%,69.13%,55.56%,50.50%,-0.2468799473181406,0.1863738967130801,
2024-10-26,CONSENSUS PICK,Jusuf Nurkic,9.72695607337068,7.5,2.837876382540085,78.37%,21.63%,55.56%,50.50%,0.2281373982341819,-0.2886434488392424,
2024-10-26,CONSENSUS PICK,Kevin Durant,6.670561664282698,5.5,2.837876382540085,66.00%,34.00%,49.50%,56.52%,0.1649559553490099,-0.2252228516038528,
2024-10-26,CONSENSUS PICK,DeMar DeRozan,5.375468661168657,4.5,2.837876382540085,62.11%,37.89%,42.74%,63.24%,0.193796450618747,-0.2534998191456449,
