Player Name,Player Team,Opposing Team,Rebounds Line,Over Odds,Under Odds,Home/Away
Anthony Edwards,MIN,DAL,5.5,-118,-104,1
Jaden McDaniels,MIN,DAL,3.5,132,-162,1
Luka Doncic,DAL,MIN,8.5,122,-148,0
Naz Reid,MIN,DAL,5.5,-104,-118,1
Daniel Gafford,DAL,MIN,5.5,-114,-106,0
Rudy Gobert,MIN,DAL,12.5,-110,-110,1
Donte DiVincenzo,MIN,DAL,3.5,138,-170,1
P.J. Washington,DAL,MIN,5.5,104,-128,0
Julius Randle,MIN,DAL,7.5,-128,104,1
Dereck Lively II,DAL,MIN,7.5,-132,108,0
Mike Conley,MIN,DAL,2.5,100,-122,1
Kyrie Irving,DAL,MIN,3.5,-144,116,0
Klay Thompson,DAL,MIN,2.5,-142,116,0
Cameron Johnson,BKN,DEN,4.5,116,-142,1
Dorian Finney-Smith,BKN,DEN,4.5,-102,-120,1
Aaron Gordon,DEN,BKN,6.5,100,-122,0
Michael Porter Jr.,DEN,BKN,7.5,120,-148,0
Russell Westbrook,DEN,BKN,3.5,114,-140,0
Jamal Murray,DEN,BKN,3.5,-130,106,0
Cam Thomas,BKN,DEN,3.5,-142,116,1
Christian Braun,DEN,BKN,4.5,-110,-110,0
Nicolas Claxton,BKN,DEN,9.5,-134,110,1
Dennis Schroder,BKN,DEN,3.5,114,-140,1
Nikola Jokic,DEN,BKN,12.5,-104,-118,0
Keyonte George,UTA,SAC,2.5,-146,114,1
Domantas Sabonis,SAC,UTA,12.5,-113,-113,0
Keegan Murray,SAC,UTA,6.5,118,-150,0
DeMar DeRozan,SAC,UTA,4.5,134,-172,0
Walker Kessler,UTA,SAC,9.5,102,-130,1
Lauri Markkanen,UTA,SAC,7.5,-128,100,1
De'Aaron Fox,SAC,UTA,4.5,114,-146,0
Zion Williamson,NOP,GSW,6.5,-125,-102,0
Brandon Ingram,NOP,GSW,5.5,-156,122,0
Jonathan Kuminga,GSW,NOP,4.5,-122,-104,1
Daniel Theis,NOP,GSW,4.5,-113,-113,0
Draymond Green,GSW,NOP,6.5,122,-156,1
Herb Jones,NOP,GSW,3.5,-140,110,0
C.J. McCollum,NOP,GSW,3.5,-158,124,0
Trayce Jackson-Davis,GSW,NOP,6.5,102,-130,1
