Player Name,Player Team,Opposing Team,Rebounds Line,Over Odds,Under Odds,Home/Away
Cameron Johnson,BKN,ORL,4.5,120,-148,0
Jalen Wilson,BKN,ORL,3.5,-144,118,0
Franz Wagner,ORL,BKN,5.5,100,-122,1
Jalen Suggs,ORL,BKN,3.5,-110,-110,1
Dennis Schroder,BKN,ORL,2.5,-162,132,0
Dorian Finney-Smith,BKN,ORL,4.5,-122,100,0
Cam Thomas,BKN,ORL,3.5,110,-134,0
Ben Simmons,BKN,ORL,6.5,-110,-110,0
Wendell Carter Jr.,ORL,BKN,8.5,112,-138,1
Ziaire Williams,BKN,ORL,2.5,-110,-110,0
Paolo Banchero,ORL,BKN,7.5,-124,102,1
Kentavious Caldwell-Pope,ORL,BKN,2.5,126,-154,1
Guerschon Yabusele,PHI,TOR,4.5,-114,-106,0
Jakob Poeltl,TOR,PHI,9.5,-115,-105,1
Scottie Barnes,TOR,PHI,7.5,114,-140,1
Chris Boucher,TOR,PHI,5.5,132,-162,1
Tyrese Maxey,PHI,TOR,3.5,-154,126,0
Ochai Agbaji,TOR,PHI,4.5,-102,-120,1
Davion Mitchell,TOR,PHI,2.5,-148,120,1
Gradey Dick,TOR,PHI,3.5,-138,112,1
Kyle Lowry,PHI,TOR,2.5,-164,134,0
Kelly Oubre Jr.,PHI,TOR,5.5,-114,-106,0
Andre Drummond,PHI,TOR,14.5,104,-128,0
Dyson Daniels,ATL,CHA,5.5,120,-148,1
Miles Bridges,CHA,ATL,6.5,-104,-118,0
De'Andre Hunter,ATL,CHA,3.5,-120,-102,1
Clint Capela,ATL,CHA,9.5,-105,-115,1
Onyeka Okongwu,ATL,CHA,6.5,-142,116,1
Trae Young,ATL,CHA,2.5,-148,120,1
Cody Martin,CHA,ATL,3.5,114,-140,0
Jalen Johnson,ATL,CHA,8.5,-110,-110,1
Nick Richards,CHA,ATL,7.5,-124,102,0
Tre Mann,CHA,ATL,3.5,-142,116,0
Zaccharie Risacher,ATL,CHA,2.5,-148,120,1
LaMelo Ball,CHA,ATL,5.5,-104,-118,0
Darius Garland,CLE,DET,2.5,-148,120,1
Jarrett Allen,CLE,DET,10.5,104,-128,1
Dean Wade,CLE,DET,3.5,-162,132,1
