Player Name,Player Team,Opposing Team,Rebounds Line,Over Odds,Under Odds,Home/Away
Tobias Harris,DET,CHI,7.5,103,-133,1
Coby White,CHI,DET,3.5,115,-149,0
Zach LaVine,CHI,DET,4.5,-118,-110,0
Nikola Vucevic,CHI,DET,9.5,-130,101,0
Ayo Dosunmu,CHI,DET,3.5,118,-154,0
Patrick Williams,CHI,DET,3.5,-159,122,0
Cade Cunningham,DET,CHI,6.5,-115,-112,1
Jalen Duren,DET,CHI,10.5,-116,-111,1
Josh Giddey,CHI,DET,5.5,103,-133,0
Jaden Ivey,DET,CHI,3.5,-164,125,1
Malik Beasley,DET,CHI,2.5,-137,106,1
Myles Turner,IND,TOR,7.5,-130,100,0
Jakob Poeltl,TOR,IND,11.5,-116,-111,1
Chris Boucher,TOR,IND,5.5,-130,101,1
Pascal Siakam,IND,TOR,7.5,-108,-120,0
R.J. Barrett,TOR,IND,6.5,118,-154,1
Bennedict Mathurin,IND,TOR,6.5,-102,-127,0
Gradey Dick,TOR,IND,3.5,-127,-102,1
Davion Mitchell,TOR,IND,3.5,132,-172,1
Ochai Agbaji,TOR,IND,5.5,120,-156,1
Tyrese Haliburton,IND,TOR,4.5,115,-149,0
Jimmy Butler,MIA,PHI,4.5,-101,-128,1
Tyler Herro,MIA,PHI,4.5,-133,103,1
Bam Adebayo,MIA,PHI,10.5,-105,-123,1
Kyle Lowry,PHI,MIA,2.5,-115,-112,0
Paul George,PHI,MIA,5.5,-109,-119,0
Jared McCain,PHI,MIA,3.5,110,-143,0
Caleb Martin,PHI,MIA,4.5,-159,122,0
Andre Drummond,PHI,MIA,11.5,102,-132,0
Kevin Love,MIA,PHI,3.5,-156,120,1
Kyle Kuzma,WAS,NYK,5.5,-154,119,0
Josh Hart,NYK,WAS,10.5,118,-154,1
Jalen Brunson,NYK,WAS,3.5,-112,-115,1
Jordan Poole,WAS,NYK,2.5,-105,-123,0
Bilal Coulibaly,WAS,NYK,4.5,-120,-108,0
Mikal Bridges,NYK,WAS,4.5,-130,101,1
OG Anunoby,NYK,WAS,5.5,-145,112,1
Alex Sarr,WAS,NYK,5.5,-108,-120,0
Karl-Anthony Towns,NYK,WAS,12.5,104,-135,1
Giannis Antetokounmpo,MIL,HOU,11.5,-141,108,1
Jalen Green,HOU,MIL,4.5,-128,-101,0
Brook Lopez,MIL,HOU,4.5,-106,-122,1
Jabari Smith Jr.,HOU,MIL,5.5,-147,113,0
Dillon Brooks,HOU,MIL,2.5,-147,113,0
Taurean Prince,MIL,HOU,4.5,122,-159,1
Fred VanVleet,HOU,MIL,3.5,-105,-123,0
Damian Lillard,MIL,HOU,3.5,-120,-108,1
Amen Thompson,HOU,MIL,6.5,110,-143,0
Bobby Portis,MIL,HOU,6.5,-116,-111,1
Tari Eason,HOU,MIL,5.5,-101,-128,0
Alperen Sengun,HOU,MIL,10.5,110,-143,0
Jonathan Isaac,ORL,PHX,5.5,-135,105,0
Franz Wagner,ORL,PHX,6.5,-103,-125,0
Jalen Suggs,ORL,PHX,4.5,-143,110,0
Anthony Black,ORL,PHX,2.5,-164,125,0
Goga Bitadze,ORL,PHX,8.5,-109,-119,0
Kentavious Caldwell-Pope,ORL,PHX,2.5,-154,119,0
Moe Wagner,ORL,PHX,5.5,117,-152,0
Mason Plumlee,PHX,ORL,8.5,-130,100,1
De'Aaron Fox,SAC,ATL,5.5,-102,-127,1
Trae Young,ATL,SAC,3.5,103,-133,0
Clint Capela,ATL,SAC,8.5,102,-132,0
Jalen Johnson,ATL,SAC,8.5,-119,-109,0
Trey Lyles,SAC,ATL,7.5,-118,-110,1
Keegan Murray,SAC,ATL,8.5,115,-149,1
Dyson Daniels,ATL,SAC,4.5,-154,118,0
Kevin Huerter,SAC,ATL,4.5,-147,113,1
Zaccharie Risacher,ATL,SAC,3.5,-145,112,0
Stephen Curry,GSW,LAC,4.5,103,-133,0
James Harden,LAC,GSW,6.5,113,-147,1
Ivica Zubac,LAC,GSW,11.5,-137,106,1
Norman Powell,LAC,GSW,2.5,-164,125,1
Derrick Jones,LAC,GSW,2.5,-152,116,1
Andrew Wiggins,GSW,LAC,4.5,120,-156,0
Draymond Green,GSW,LAC,5.5,-143,110,0
