Player Name,Player Team,Opposing Team,Rebounds Line,Over Odds,Under Odds,Home/Away
Tyrese Haliburton,IND,PHI,3.5,-162,132,1
Pascal Siakam,IND,PHI,7.5,-115,-105,1
Kyle Lowry,PHI,IND,3.5,142,-178,0
Guerschon Yabusele,PHI,IND,4.5,132,-162,0
Caleb Martin,PHI,IND,5.5,120,-148,0
Tyrese Maxey,PHI,IND,3.5,-118,-104,0
Myles Turner,IND,PHI,8.5,122,-150,1
Kelly Oubre Jr.,PHI,IND,5.5,106,-130,0
Aaron Nesmith,IND,PHI,3.5,114,-140,1
Andre Drummond,PHI,IND,13.5,112,-138,0
Damian Lillard,MIL,BKN,4.5,100,-128,0
Brook Lopez,MIL,BKN,4.5,-128,100,0
Bobby Portis,MIL,BKN,7.5,-146,114,0
Cameron Johnson,BKN,MIL,4.5,104,-132,1
Gary Trent Jr.,MIL,BKN,3.5,124,-160,0
Dennis Schroder,BKN,MIL,2.5,-170,132,1
Dorian Finney-Smith,BKN,MIL,4.5,-148,116,1
Cam Thomas,BKN,MIL,3.5,-128,100,1
Giannis Antetokounmpo,MIL,BKN,11.5,-106,-120,0
Jerami Grant,POR,NOP,3.5,118,-150,1
Zion Williamson,NOP,POR,6.5,-110,-110,0
C.J. McCollum,NOP,POR,3.5,-160,124,0
Toumani Camara,POR,NOP,5.5,112,-142,1
Brandon Ingram,NOP,POR,5.5,-113,-113,0
Herb Jones,NOP,POR,3.5,106,-136,0
Deni Avdija,POR,NOP,6.5,-128,100,1
Daniel Theis,NOP,POR,5.5,130,-166,0
Deandre Ayton,POR,NOP,10.5,-110,-110,1
Yves Missi,NOP,POR,5.5,112,-138,0
Jalen Williams,OKC,ATL,5.5,102,-130,1
Dyson Daniels,ATL,OKC,4.5,-128,104,0
Shai Gilgeous-Alexander,OKC,ATL,6.5,104,-130,1
Trae Young,ATL,OKC,3.5,118,-144,0
Luguentz Dort,OKC,ATL,3.5,-102,-125,1
Jalen Johnson,ATL,OKC,8.5,-134,110,0
Clint Capela,ATL,OKC,8.5,104,-128,0
Chet Holmgren,OKC,ATL,10.5,100,-128,1
Brandin Podziemski,GSW,LAC,4.5,104,-132,1
Terance Mann,LAC,GSW,3.5,-113,-113,0
Andrew Wiggins,GSW,LAC,4.5,104,-132,1
Jonathan Kuminga,GSW,LAC,3.5,-166,130,1
Norman Powell,LAC,GSW,3.5,130,-166,0
James Harden,LAC,GSW,5.5,-113,-113,0
Buddy Hield,GSW,LAC,2.5,-113,-113,1
Stephen Curry,GSW,LAC,3.5,-146,114,1
Ivica Zubac,LAC,GSW,10.5,-106,-120,0
Derrick Jones,LAC,GSW,3.5,124,-160,0
Draymond Green,GSW,LAC,5.5,-125,-102,1
Trayce Jackson-Davis,GSW,LAC,5.5,-113,-113,1
