Player Name,Player Team,Opposing Team,Rebounds Line,Over Odds,Under Odds,Home/Away
Miles Bridges,CHA,BOS,5.5,-135,105,1
Jaylen Brown,BOS,CHA,6.5,112,-145,0
LaMelo Ball,CHA,BOS,5.5,-110,-118,1
Jayson Tatum,BOS,CHA,8.5,105,-135,0
Derrick White,BOS,CHA,4.5,115,-149,0
Josh Green,CHA,BOS,2.5,-130,100,1
Jrue Holiday,BOS,CHA,4.5,-114,-114,0
Nick Richards,CHA,BOS,9.5,100,-130,1
Seth Curry,CHA,BOS,2.5,122,-159,1
Darius Garland,CLE,ORL,2.5,-130,100,1
Dean Wade,CLE,ORL,3.5,-147,114,1
Evan Mobley,CLE,ORL,8.5,-112,-115,1
Donovan Mitchell,CLE,ORL,3.5,-149,115,1
Caris LeVert,CLE,ORL,2.5,-164,125,1
Georges Niang,CLE,ORL,2.5,104,-135,1
Kentavious Caldwell-Pope,ORL,CLE,2.5,130,-169,0
Sam Merrill,CLE,ORL,1.5,-149,115,1
Jalen Suggs,ORL,CLE,4.5,-103,-125,0
Wendell Carter Jr.,ORL,CLE,9.5,115,-149,0
Jarrett Allen,CLE,ORL,10.5,115,-149,1
Franz Wagner,ORL,CLE,5.5,102,-132,0
Anthony Black,ORL,CLE,3.5,109,-141,0
Jalen Duren,DET,NYK,10.5,-109,-119,1
Jaden Ivey,DET,NYK,3.5,-119,-109,1
Karl-Anthony Towns,NYK,DET,10.5,-108,-120,0
Tim Hardaway Jr.,DET,NYK,2.5,100,-130,1
Malik Beasley,DET,NYK,2.5,-103,-125,1
Isaiah Stewart II,DET,NYK,5.5,105,-135,1
Simone Fontecchio,DET,NYK,2.5,-135,105,1
Mikal Bridges,NYK,DET,3.5,-179,136,0
Josh Hart,NYK,DET,9.5,-119,-109,0
OG Anunoby,NYK,DET,4.5,-105,-123,0
Jalen Brunson,NYK,DET,3.5,118,-154,0
Tobias Harris,DET,NYK,6.5,-123,-105,1
Cade Cunningham,DET,NYK,4.5,-154,118,1
De'Aaron Fox,SAC,ATL,4.5,-105,-123,0
Trae Young,ATL,SAC,3.5,107,-139,1
Jalen Johnson,ATL,SAC,9.5,-108,-120,1
Keegan Murray,SAC,ATL,5.5,-132,102,0
Clint Capela,ATL,SAC,8.5,100,-130,1
Kevin Huerter,SAC,ATL,3.5,122,-159,0
Zaccharie Risacher,ATL,SAC,4.5,-108,-120,1
DeMar DeRozan,SAC,ATL,3.5,-149,115,0
Malik Monk,SAC,ATL,2.5,-169,130,0
Domantas Sabonis,SAC,ATL,13.5,105,-135,0
Cam Thomas,BKN,CHI,3.5,-130,100,1
Ben Simmons,BKN,CHI,5.5,-152,116,1
Dorian Finney-Smith,BKN,CHI,4.5,-123,-104,1
Dennis Schroder,BKN,CHI,3.5,120,-156,1
Cameron Johnson,BKN,CHI,4.5,-118,-110,1
Nicolas Claxton,BKN,CHI,8.5,-123,-104,1
D'Angelo Russell,LAL,TOR,2.5,-139,107,0
Jakob Poeltl,TOR,LAL,9.5,-161,124,1
Austin Reaves,LAL,TOR,4.5,-109,-119,0
Max Christie,LAL,TOR,2.5,104,-135,0
Rui Hachimura,LAL,TOR,5.5,-130,100,0
Gradey Dick,TOR,LAL,2.5,-143,110,1
Jaxson Hayes,LAL,TOR,3.5,-127,-102,0
R.J. Barrett,TOR,LAL,5.5,-123,-105,1
Gabe Vincent,LAL,TOR,1.5,178,-238,0
Dalton Knecht,LAL,TOR,2.5,140,-185,0
Davion Mitchell,TOR,LAL,2.5,130,-169,1
LeBron James,LAL,TOR,6.5,-149,115,0
Anthony Davis,LAL,TOR,12.5,-143,110,0
Chris Boucher,TOR,LAL,5.5,-105,-123,1
Myles Turner,IND,NOP,6.5,-115,-112,0
Brandon Ingram,NOP,IND,5.5,-122,-106,1
Tyrese Haliburton,IND,NOP,4.5,106,-137,0
Aaron Nesmith,IND,NOP,4.5,107,-139,0
Pascal Siakam,IND,NOP,8.5,128,-167,0
Jose Alvarado,NOP,IND,3.5,-128,-101,1
Zion Williamson,NOP,IND,6.5,-141,109,1
Aaron Gordon,DEN,MIN,5.5,-118,-110,0
Nikola Jokic,DEN,MIN,11.5,-102,-127,0
Jamal Murray,DEN,MIN,3.5,-130,100,0
Anthony Edwards,MIN,DEN,5.5,-105,-123,1
Jaden McDaniels,MIN,DEN,3.5,126,-164,1
Rudy Gobert,MIN,DEN,11.5,-120,-108,1
Mike Conley,MIN,DEN,2.5,115,-149,1
Donte DiVincenzo,MIN,DEN,2.5,-105,-123,1
Russell Westbrook,DEN,MIN,3.5,115,-149,0
Naz Reid,MIN,DEN,4.5,-156,121,1
Nickeil Alexander-Walker,MIN,DEN,1.5,-120,-108,1
Julius Randle,MIN,DEN,7.5,-125,-103,1
Christian Braun,DEN,MIN,4.5,-106,-122,0
Michael Porter Jr.,DEN,MIN,6.5,100,-130,0
Anfernee Simons,POR,OKC,2.5,-130,100,1
Shai Gilgeous-Alexander,OKC,POR,6.5,103,-133,0
Jerami Grant,POR,OKC,3.5,-154,119,1
Luguentz Dort,OKC,POR,3.5,-106,-122,0
Jalen Williams,OKC,POR,5.5,-102,-127,0
Chet Holmgren,OKC,POR,9.5,-122,-106,0
Toumani Camara,POR,OKC,4.5,102,-132,1
Scoot Henderson,POR,OKC,2.5,-169,130,1
Deni Avdija,POR,OKC,6.5,-114,-114,1
Deandre Ayton,POR,OKC,11.5,-101,-128,1
