Player Name,Player Team,Opposing Team,Rebounds Line,Over Odds,Under Odds,Home/Away
Jonas Valanciunas,WAS,BOS,7.5,-124,102,1
Kyle Kuzma,WAS,BOS,6.5,118,-144,1
Jayson Tatum,BOS,WAS,8.5,-102,-120,0
Jordan Poole,WAS,BOS,2.5,-134,110,1
Al Horford,BOS,WAS,5.5,-132,108,0
Jrue Holiday,BOS,WAS,5.5,114,-140,0
Derrick White,BOS,WAS,3.5,-148,120,0
Luke Kornet,BOS,WAS,5.5,114,-140,0
Bilal Coulibaly,WAS,BOS,3.5,-154,126,1
Jaylen Brown,BOS,WAS,5.5,100,-122,0
Luka Doncic,DAL,SAS,8.5,-142,116,1
Chris Paul,SAS,DAL,3.5,110,-134,0
P.J. Washington,DAL,SAS,5.5,-110,-110,1
Keldon Johnson,SAS,DAL,4.5,106,-130,0
Daniel Gafford,DAL,SAS,5.5,110,-134,1
Victor Wembanyama,SAS,DAL,10.5,-140,114,0
Kyrie Irving,DAL,SAS,3.5,-138,112,1
Dereck Lively II,DAL,SAS,7.5,106,-130,1
Tre Jones,SAS,DAL,2.5,-164,134,0
Zach Collins,SAS,DAL,4.5,106,-130,0
Jeremy Sochan,SAS,DAL,6.5,126,-154,0
Julian Champagnie,SAS,DAL,2.5,-164,134,0
Harrison Barnes,SAS,DAL,2.5,-128,104,0
Klay Thompson,DAL,SAS,2.5,-162,132,1
Russell Westbrook,DEN,OKC,4.5,134,-172,1
Christian Braun,DEN,OKC,3.5,-146,114,1
Shai Gilgeous-Alexander,OKC,DEN,5.5,-140,110,0
Aaron Gordon,DEN,OKC,5.5,-150,118,1
Jamal Murray,DEN,OKC,3.5,-146,114,1
Nikola Jokic,DEN,OKC,12.5,102,-130,1
Alex Caruso,OKC,DEN,3.5,-154,120,0
Jalen Williams,OKC,DEN,4.5,-108,-118,0
Chet Holmgren,OKC,DEN,8.5,106,-136,0
Michael Porter Jr.,DEN,OKC,6.5,126,-162,1
Luguentz Dort,OKC,DEN,3.5,-132,104,0
Kevin Huerter,SAC,MIN,2.5,-113,-113,1
Julius Randle,MIN,SAC,7.5,-136,106,0
Domantas Sabonis,SAC,MIN,12.5,-113,-113,1
Anthony Edwards,MIN,SAC,5.5,102,-130,0
De'Aaron Fox,SAC,MIN,4.5,104,-132,1
Jaden McDaniels,MIN,SAC,2.5,-138,108,0
Keegan Murray,SAC,MIN,5.5,122,-156,1
Malik Monk,SAC,MIN,3.5,142,-184,1
Rudy Gobert,MIN,SAC,13.5,-102,-125,0
DeMar DeRozan,SAC,MIN,3.5,118,-150,1
Mike Conley,MIN,SAC,2.5,126,-162,0
Naz Reid,MIN,SAC,4.5,-130,102,0
