Player Name,Player Team,Opposing Team,Rebounds Line,Over Odds,Under Odds,Home/Away
Jarrett Allen,CLE,ATL,11.5,-105,-115,1
Donovan Mitchell,CLE,ATL,4.5,106,-130,1
Clint Capela,ATL,CLE,9.5,118,-144,0
Darius Garland,CLE,ATL,2.5,-105,-115,1
Trae Young,ATL,CLE,2.5,-164,132,0
Evan Mobley,CLE,ATL,8.5,-142,116,1
Bam Adebayo,MIA,CHA,9.5,-124,102,0
Josh Green,CHA,MIA,3.5,-105,-115,1
Jaime Jaquez Jr.,MIA,CHA,3.5,-142,116,0
LaMelo Ball,CHA,MIA,5.5,-140,114,1
Cody Martin,CHA,MIA,4.5,-104,-118,1
Brandon Miller,CHA,MIA,5.5,-118,-104,1
Tyler Herro,MIA,CHA,5.5,114,-140,0
Jimmy Butler,MIA,CHA,5.5,112,-140,0
Zach LaVine,CHI,ORL,4.5,116,-142,0
Josh Giddey,CHI,ORL,5.5,-118,-104,0
Nikola Vucevic,CHI,ORL,9.5,-108,-112,0
Ayo Dosunmu,CHI,ORL,2.5,-162,132,0
Kentavious Caldwell-Pope,ORL,CHI,2.5,-105,-115,1
Franz Wagner,ORL,CHI,5.5,-142,116,1
Coby White,CHI,ORL,3.5,130,-160,0
Jalen Suggs,ORL,CHI,4.5,-106,-114,1
Alperen Sengun,HOU,PHI,10.5,104,-128,0
Fred VanVleet,HOU,PHI,3.5,-120,-102,0
Guerschon Yabusele,PHI,HOU,5.5,-144,118,1
Tyrese Maxey,PHI,HOU,3.5,-124,102,1
Amen Thompson,HOU,PHI,6.5,-115,-105,0
Andre Drummond,PHI,HOU,7.5,-142,116,1
Dillon Brooks,HOU,PHI,3.5,118,-144,0
Jabari Smith Jr.,HOU,PHI,6.5,-110,-110,0
Jared McCain,PHI,HOU,3.5,-120,-102,1
Kelly Oubre Jr.,PHI,HOU,5.5,114,-140,1
Jalen Green,HOU,PHI,4.5,-104,-118,0
Caleb Martin,PHI,HOU,4.5,-130,106,1
Tyrese Haliburton,IND,POR,3.5,104,-128,1
Obi Toppin,IND,POR,3.5,132,-162,1
Bennedict Mathurin,IND,POR,6.5,112,-138,1
Anfernee Simons,POR,IND,2.5,-164,132,0
Shaedon Sharpe,POR,IND,4.5,116,-142,0
T.J. McConnell,IND,POR,2.5,-134,110,1
Pascal Siakam,IND,POR,6.5,-118,-104,1
Myles Turner,IND,POR,8.5,116,-142,1
Norman Powell,LAC,WAS,3.5,130,-160,0
Ivica Zubac,LAC,WAS,12.5,-115,-105,0
James Harden,LAC,WAS,6.5,-110,-110,0
Bilal Coulibaly,WAS,LAC,5.5,132,-162,1
Kyshawn George,WAS,LAC,3.5,-110,-110,1
Terance Mann,LAC,WAS,3.5,-120,-102,0
Alex Sarr,WAS,LAC,6.5,-104,-118,1
Kyle Kuzma,WAS,LAC,6.5,112,-138,1
Derrick Jones,LAC,WAS,3.5,118,-144,0
Malcolm Brogdon,WAS,LAC,3.5,110,-134,1
Jordan Poole,WAS,LAC,2.5,-110,-110,1
Kris Dunn,LAC,WAS,3.5,-142,116,0
OG Anunoby,NYK,DAL,5.5,120,-148,0
Karl-Anthony Towns,NYK,DAL,11.5,-122,100,0
P.J. Washington,DAL,NYK,8.5,108,-132,1
Jalen Brunson,NYK,DAL,2.5,-162,132,0
Kyrie Irving,DAL,NYK,4.5,-106,-114,1
Josh Hart,NYK,DAL,8.5,110,-134,0
Mikal Bridges,NYK,DAL,3.5,-142,116,0
Klay Thompson,DAL,NYK,3.5,104,-128,1
Tobias Harris,DET,MEM,6.5,-106,-114,0
Malik Beasley,DET,MEM,3.5,118,-144,0
Jalen Duren,DET,MEM,10.5,-102,-118,0
Scotty Pippen Jr.,MEM,DET,3.5,-124,102,1
Desmond Bane,MEM,DET,5.5,-118,-104,1
Brandon Clarke,MEM,DET,5.5,-132,108,1
Jaren Jackson Jr.,MEM,DET,6.5,116,-142,1
Jaylen Wells,MEM,DET,3.5,-130,106,1
Jaden Ivey,DET,MEM,4.5,-104,-118,0
Kevin Huerter,SAC,MIN,3.5,-120,-102,0
Anthony Edwards,MIN,SAC,5.5,122,-150,1
Julius Randle,MIN,SAC,5.5,-154,126,1
Keon Ellis,SAC,MIN,3.5,138,-170,0
Domantas Sabonis,SAC,MIN,12.5,110,-134,0
De'Aaron Fox,SAC,MIN,4.5,116,-142,0
Jaden McDaniels,MIN,SAC,3.5,-120,-102,1
Rudy Gobert,MIN,SAC,11.5,-118,-104,1
Naz Reid,MIN,SAC,4.5,-134,110,1
Keegan Murray,SAC,MIN,6.5,-150,122,0
R.J. Barrett,TOR,NOP,5.5,114,-140,0
Jakob Poeltl,TOR,NOP,11.5,-110,-110,0
Scottie Barnes,TOR,NOP,6.5,-140,114,0
Ochai Agbaji,TOR,NOP,3.5,-102,-120,0
Davion Mitchell,TOR,NOP,2.5,118,-144,0
Trey Murphy III,NOP,TOR,5.5,114,-140,1
Brandon Ingram,NOP,TOR,5.5,114,-140,1
Chris Boucher,TOR,NOP,4.5,-102,-120,0
Jonathan Mogbo,TOR,NOP,4.5,136,-168,0
Austin Reaves,LAL,SAS,3.5,-128,100,0
LeBron James,LAL,SAS,7.5,-120,-106,0
Harrison Barnes,SAS,LAL,4.5,100,-128,1
Victor Wembanyama,SAS,LAL,10.5,110,-140,1
Keldon Johnson,SAS,LAL,4.5,-108,-118,1
Stephon Castle,SAS,LAL,3.5,130,-166,1
Anthony Davis,LAL,SAS,12.5,-115,-111,0
Chris Paul,SAS,LAL,3.5,-102,-125,1
Rui Hachimura,LAL,SAS,4.5,104,-132,0
Julian Champagnie,SAS,LAL,4.5,110,-140,1
Ben Simmons,BKN,PHX,6.5,-146,114,0
Jusuf Nurkic,PHX,BKN,10.5,-120,-106,1
Kevin Durant,PHX,BKN,5.5,102,-130,1
Ziaire Williams,BKN,PHX,4.5,-142,112,0
Dorian Finney-Smith,BKN,PHX,4.5,134,-172,0
Dennis Schroder,BKN,PHX,3.5,102,-130,0
Cameron Johnson,BKN,PHX,4.5,-106,-120,0
Devin Booker,PHX,BKN,3.5,-113,-113,1
Peyton Watson,DEN,UTA,4.5,-146,114,0
Jamal Murray,DEN,UTA,3.5,-136,106,0
Walker Kessler,UTA,DEN,9.5,-120,-106,1
Christian Braun,DEN,UTA,4.5,-108,-118,0
Nikola Jokic,DEN,UTA,12.5,-136,106,0
Russell Westbrook,DEN,UTA,3.5,-162,126,0
Aaron Wiggins,OKC,GSW,3.5,-102,-125,0
Isaiah Hartenstein,OKC,GSW,10.5,-113,-113,0
Shai Gilgeous-Alexander,OKC,GSW,5.5,126,-162,0
Luguentz Dort,OKC,GSW,4.5,-148,116,0
Draymond Green,GSW,OKC,6.5,-102,-125,1
Trayce Jackson-Davis,GSW,OKC,5.5,-104,-122,1
Jalen Williams,OKC,GSW,5.5,-140,110,0
Andrew Wiggins,GSW,OKC,4.5,114,-146,1
