Player Name,Player Team,Opposing Team,Rebounds Line,Over Odds,Under Odds,Home/Away
Al Horford,BOS,ATL,6.5,103,-133,1
Jaylen Brown,BOS,ATL,6.5,113,-147,1
Jayson Tatum,BOS,ATL,8.5,100,-130,1
Jalen Johnson,ATL,BOS,9.5,112,-145,0
Clint Capela,ATL,BOS,8.5,128,-167,0
Derrick White,BOS,ATL,4.5,-123,-105,1
Jrue Holiday,BOS,ATL,4.5,-128,-101,1
Zaccharie Risacher,ATL,BOS,4.5,115,-149,0
Dyson Daniels,ATL,BOS,4.5,-154,119,0
LaMelo Ball,CHA,ORL,5.5,118,-154,0
Franz Wagner,ORL,CHA,5.5,-132,102,1
Jalen Suggs,ORL,CHA,4.5,-135,104,1
Brandon Miller,CHA,ORL,4.5,-147,114,0
Goga Bitadze,ORL,CHA,9.5,109,-141,1
Kentavious Caldwell-Pope,ORL,CHA,3.5,141,-185,1
Josh Green,CHA,ORL,2.5,-123,-105,0
Tobias Harris,DET,MIA,7.5,115,-149,1
Bam Adebayo,MIA,DET,9.5,-123,-104,0
Cade Cunningham,DET,MIA,6.5,-105,-123,1
Haywood Highsmith,MIA,DET,4.5,-101,-128,0
Jaden Ivey,DET,MIA,3.5,-156,120,1
Terry Rozier,MIA,DET,3.5,-137,106,0
Tim Hardaway Jr.,DET,MIA,2.5,-143,110,1
Jalen Duren,DET,MIA,10.5,-114,-114,1
Tyler Herro,MIA,DET,5.5,128,-167,0
Malik Beasley,DET,MIA,2.5,-143,110,1
Simone Fontecchio,DET,MIA,3.5,118,-154,1
Jalen Brunson,NYK,PHI,3.5,122,-159,0
Miles McBride,NYK,PHI,2.5,118,-154,0
Josh Hart,NYK,PHI,9.5,102,-132,0
Kelly Oubre Jr.,PHI,NYK,4.5,110,-143,1
OG Anunoby,NYK,PHI,4.5,100,-130,0
Kyle Lowry,PHI,NYK,2.5,-105,-123,1
Paul George,PHI,NYK,4.5,-103,-125,1
Caleb Martin,PHI,NYK,4.5,-109,-119,1
Karl-Anthony Towns,NYK,PHI,10.5,-130,100,0
Joel Embiid,PHI,NYK,8.5,-125,-103,1
Mikal Bridges,NYK,PHI,4.5,130,-169,0
Jakob Poeltl,TOR,MIL,10.5,102,-132,0
Giannis Antetokounmpo,MIL,TOR,12.5,-106,-122,1
Bobby Portis,MIL,TOR,6.5,-143,110,1
Brook Lopez,MIL,TOR,4.5,-114,-114,1
R.J. Barrett,TOR,MIL,6.5,120,-156,0
Immanuel Quickley,TOR,MIL,3.5,-116,-111,0
Taurean Prince,MIL,TOR,3.5,-156,121,1
Devin Booker,PHX,UTA,4.5,104,-135,0
Lauri Markkanen,UTA,PHX,7.5,-130,101,1
Bradley Beal,PHX,UTA,4.5,100,-130,0
Cody Williams,UTA,PHX,3.5,-110,-118,1
Tyus Jones,PHX,UTA,2.5,-154,119,0
Jusuf Nurkic,PHX,UTA,10.5,-108,-120,0
Keyonte George,UTA,PHX,3.5,124,-161,1
Collin Sexton,UTA,PHX,2.5,-175,135,1
Jordan Clarkson,UTA,PHX,2.5,-167,128,1
Draymond Green,GSW,DAL,5.5,-120,-108,1
Andrew Wiggins,GSW,DAL,3.5,-167,128,1
Luka Doncic,DAL,GSW,8.5,-105,-123,0
Naji Marshall,DAL,GSW,5.5,124,-161,0
Klay Thompson,DAL,GSW,3.5,107,-139,0
Trayce Jackson-Davis,GSW,DAL,4.5,112,-145,1
Daniel Gafford,DAL,GSW,6.5,-102,-127,0
De'Anthony Melton,GSW,DAL,3.5,112,-145,1
Kyrie Irving,DAL,GSW,4.5,115,-149,0
Stephen Curry,GSW,DAL,4.5,118,-154,1
Naz Reid,MIN,POR,4.5,-149,115,0
Anfernee Simons,POR,MIN,2.5,-102,-127,1
Jerami Grant,POR,MIN,3.5,112,-145,1
Jaden McDaniels,MIN,POR,3.5,103,-133,0
Anthony Edwards,MIN,POR,5.5,-123,-105,0
Shaedon Sharpe,POR,MIN,3.5,-110,-118,1
Rudy Gobert,MIN,POR,11.5,-115,-112,0
Mike Conley,MIN,POR,2.5,-106,-122,0
Nickeil Alexander-Walker,MIN,POR,1.5,-192,145,0
Toumani Camara,POR,MIN,4.5,-123,-105,1
Deandre Ayton,POR,MIN,8.5,-154,118,1
Donte DiVincenzo,MIN,POR,3.5,109,-141,0
Julius Randle,MIN,POR,7.5,-102,-127,0
Scoot Henderson,POR,MIN,2.5,-112,-115,1
