Player Name,Player Team,Opposing Team,Rebounds Line,Over Odds,Under Odds,Home/Away
Jayson Tatum,BOS,MIN,7.5,-138,112,1
Al Horford,BOS,MIN,5.5,-128,104,1
Derrick White,BOS,MIN,3.5,-168,136,1
Rudy Gobert,MIN,BOS,10.5,-130,106,0
Julius Randle,MIN,BOS,7.5,118,-144,0
Jrue Holiday,BOS,MIN,3.5,-120,-102,1
Jaden McDaniels,MIN,BOS,3.5,-168,136,0
Anthony Edwards,MIN,BOS,5.5,118,-144,0
Donte DiVincenzo,MIN,BOS,3.5,-110,-110,0
Jaylen Brown,BOS,MIN,5.5,-106,-114,1
Naz Reid,MIN,BOS,4.5,-154,126,0
Bilal Coulibaly,WAS,IND,5.5,-110,-110,0
Myles Turner,IND,WAS,8.5,-114,-106,1
Pascal Siakam,IND,WAS,7.5,-114,-106,1
Jarace Walker,IND,WAS,4.5,-112,-110,1
Obi Toppin,IND,WAS,3.5,-102,-120,1
Tyrese Haliburton,IND,WAS,3.5,-110,-110,1
Kyle Kuzma,WAS,IND,6.5,-118,-104,0
Alex Sarr,WAS,IND,5.5,-132,108,0
Bennedict Mathurin,IND,WAS,6.5,-104,-118,1
Jonas Valanciunas,WAS,IND,8.5,118,-144,0
Haywood Highsmith,MIA,DAL,4.5,136,-168,1
P.J. Washington,DAL,MIA,7.5,-115,-105,0
Bam Adebayo,MIA,DAL,10.5,-118,-104,1
Daniel Gafford,DAL,MIA,6.5,-110,-110,0
Quentin Grimes,DAL,MIA,3.5,-142,116,0
Jimmy Butler,MIA,DAL,5.5,122,-148,1
Klay Thompson,DAL,MIA,3.5,126,-154,0
Tyler Herro,MIA,DAL,4.5,-148,120,1
Kyrie Irving,DAL,MIA,4.5,-102,-120,0
Dereck Lively II,DAL,MIA,7.5,-128,104,0
Guerschon Yabusele,PHI,LAC,6.5,104,-128,1
Tyrese Maxey,PHI,LAC,3.5,110,-134,1
Ivica Zubac,LAC,PHI,11.5,-110,-110,0
Kelly Oubre Jr.,PHI,LAC,5.5,120,-148,1
Derrick Jones,LAC,PHI,3.5,132,-162,0
Jared McCain,PHI,LAC,3.5,-138,112,1
Mohamed Bamba,LAC,PHI,5.5,120,-148,0
Kevin Porter Jr.,LAC,PHI,3.5,118,-144,0
Caleb Martin,PHI,LAC,4.5,-144,118,1
James Harden,LAC,PHI,6.5,102,-124,0
Kris Dunn,LAC,PHI,3.5,-130,106,0
Andre Drummond,PHI,LAC,8.5,-105,-115,1
Donovan Mitchell,CLE,TOR,4.5,128,-164,1
Jakob Poeltl,TOR,CLE,10.5,-106,-120,0
R.J. Barrett,TOR,CLE,5.5,-125,-102,0
Ochai Agbaji,TOR,CLE,3.5,-113,-113,0
Jarrett Allen,CLE,TOR,10.5,-136,106,1
Evan Mobley,CLE,TOR,8.5,-128,100,1
Scottie Barnes,TOR,CLE,6.5,126,-162,0
Kevin Huerter,SAC,BKN,3.5,-125,-102,1
DeMar DeRozan,SAC,BKN,3.5,-140,110,1
Cam Thomas,BKN,SAC,3.5,126,-162,0
Dennis Schroder,BKN,SAC,3.5,138,-178,0
Nicolas Claxton,BKN,SAC,7.5,-142,112,0
Domantas Sabonis,SAC,BKN,12.5,-115,-111,1
Ben Simmons,BKN,SAC,6.5,106,-136,0
Keegan Murray,SAC,BKN,6.5,-130,102,1
De'Aaron Fox,SAC,BKN,4.5,100,-128,1
Cameron Johnson,BKN,SAC,4.5,114,-146,0
