Player Name,Player Team,Opposing Team,Rebounds Line,Over Odds,Under Odds,Home/Away
Coby White,CHI,MIN,3.5,-123,-104,1
Naz Reid,MIN,CHI,5.5,-108,-120,0
Patrick Williams,CHI,MIN,3.5,-145,111,1
Jaden McDaniels,MIN,CHI,2.5,-147,113,0
Nikola Vucevic,CHI,MIN,9.5,-133,103,1
Anthony Edwards,MIN,CHI,5.5,-125,-103,0
Mike Conley,MIN,CHI,2.5,-125,-103,0
Julius Randle,MIN,CHI,7.5,102,-132,0
Nickeil Alexander-Walker,MIN,CHI,1.5,-143,110,0
Donte DiVincenzo,MIN,CHI,3.5,128,-167,0
Rudy Gobert,MIN,CHI,11.5,-118,-110,0
Ayo Dosunmu,CHI,MIN,3.5,-137,106,1
Josh Giddey,CHI,MIN,6.5,-106,-122,1
Giannis Antetokounmpo,MIL,UTA,11.5,-102,-127,1
Lauri Markkanen,UTA,MIL,7.5,112,-145,0
Walker Kessler,UTA,MIL,10.5,110,-143,0
Keyonte George,UTA,MIL,3.5,128,-167,0
Cody Williams,UTA,MIL,3.5,120,-156,0
Anfernee Simons,POR,SAS,3.5,112,-145,0
Zach Collins,SAS,POR,4.5,115,-149,1
Jerami Grant,POR,SAS,3.5,-114,-114,0
Keldon Johnson,SAS,POR,5.5,-115,-112,1
Malaki Branham,SAS,POR,2.5,118,-154,1
Julian Champagnie,SAS,POR,4.5,-132,-101,1
Victor Wembanyama,SAS,POR,11.5,-103,-125,1
Toumani Camara,POR,SAS,4.5,-154,119,0
Deni Avdija,POR,SAS,6.5,115,-149,0
Stephon Castle,SAS,POR,3.5,-108,-120,1
Chris Paul,SAS,POR,3.5,-154,118,1
Harrison Barnes,SAS,POR,3.5,-128,-101,1
Scoot Henderson,POR,SAS,2.5,-112,-115,0
Deandre Ayton,POR,SAS,10.5,-123,-105,0
