Player Name,Player Team,Opposing Team,Rebounds Line,Over Odds,Under Odds,Home/Away
Giannis Antetokounmpo,MIL,MEM,11.5,-122,-106,0
Ja Morant,MEM,MIL,4.5,-135,105,1
Bobby Portis,MIL,MEM,8.5,-109,-119,0
Damian Lillard,MIL,MEM,4.5,117,-152,0
Zach Edey,MEM,MIL,5.5,109,-141,1
Gary Trent Jr.,MIL,MEM,2.5,-135,105,0
Taurean Prince,MIL,MEM,3.5,-167,128,0
Brook Lopez,MIL,MEM,5.5,115,-149,0
Pat Connaughton,MIL,MEM,2.5,-149,115,0
Jaren Jackson Jr.,MEM,MIL,4.5,-137,106,1
Luka Doncic,DAL,HOU,8.5,-154,118,1
Alperen Sengun,HOU,DAL,9.5,-120,-108,0
Kyrie Irving,DAL,HOU,4.5,107,-139,1
Fred VanVleet,HOU,DAL,3.5,110,-143,0
Dillon Brooks,HOU,DAL,3.5,126,-164,0
Daniel Gafford,DAL,HOU,6.5,-111,-116,1
P.J. Washington,DAL,HOU,6.5,104,-135,1
Klay Thompson,DAL,HOU,3.5,120,-156,1
Jabari Smith Jr.,HOU,DAL,7.5,110,-143,0
Jalen Green,HOU,DAL,4.5,-135,105,0
Dereck Lively II,DAL,HOU,8.5,115,-149,1
Tari Eason,HOU,DAL,4.5,-112,-115,0
Lauri Markkanen,UTA,SAS,7.5,-111,-116,1
Jeremy Sochan,SAS,UTA,7.5,-114,-114,0
Julian Champagnie,SAS,UTA,3.5,-156,120,0
Victor Wembanyama,SAS,UTA,11.5,102,-132,0
Chris Paul,SAS,UTA,3.5,-108,-120,0
Harrison Barnes,SAS,UTA,3.5,110,-143,0
James Harden,LAC,PHX,5.5,-149,115,1
Devin Booker,PHX,LAC,3.5,-141,109,0
Ivica Zubac,LAC,PHX,10.5,-135,104,1
Terance Mann,LAC,PHX,2.5,-130,100,1
Norman Powell,LAC,PHX,2.5,-149,115,1
Kevin Durant,PHX,LAC,6.5,110,-143,0
Bradley Beal,PHX,LAC,3.5,-132,102,0
Derrick Jones,LAC,PHX,3.5,-114,-114,1
