Player Name,Player Team,Opposing Team,Rebounds Line,Over Odds,Under Odds,Home/Away
LaMelo Ball,CHA,ATL,6.5,118,-150,1
Dyson Daniels,ATL,CHA,4.5,-130,102,0
Trae Young,ATL,CHA,3.5,106,-136,0
Clint Capela,ATL,CHA,9.5,-113,-113,0
Jalen Johnson,ATL,CHA,9.5,-115,-111,0
Brandon Miller,CHA,ATL,5.5,-104,-122,1
Tyrese Maxey,PHI,DET,3.5,-113,-113,0
Paul George,PHI,DET,4.5,-160,124,0
Jalen Duren,DET,PHI,10.5,-122,-104,1
Cade Cunningham,DET,PHI,5.5,-150,118,1
Jared McCain,PHI,DET,3.5,-128,100,0
Jaden Ivey,DET,PHI,3.5,-136,106,1
Tobias Harris,DET,PHI,6.5,104,-132,1
Caleb Martin,PHI,DET,4.5,-120,-106,0
Taurean Prince,MIL,WAS,4.5,110,-140,1
Bilal Coulibaly,WAS,MIL,5.5,116,-148,0
Brook Lopez,MIL,WAS,5.5,112,-142,1
Bobby Portis,MIL,WAS,7.5,-106,-120,1
Giannis Antetokounmpo,MIL,WAS,12.5,-130,102,1
Malcolm Brogdon,WAS,MIL,3.5,118,-150,0
Alex Sarr,WAS,MIL,5.5,-140,110,0
Damian Lillard,MIL,WAS,4.5,124,-160,1
Bradley Beal,PHX,GSW,3.5,-146,114,1
Stephen Curry,GSW,PHX,4.5,-122,-104,0
Draymond Green,GSW,PHX,6.5,-120,-106,0
Tyus Jones,PHX,GSW,2.5,-138,108,1
Andrew Wiggins,GSW,PHX,4.5,-122,-104,0
Kevin Durant,PHX,GSW,6.5,102,-130,1
Devin Booker,PHX,GSW,3.5,-132,104,1
Jusuf Nurkic,PHX,GSW,9.5,-128,-102,1
Walker Kessler,UTA,DAL,9.5,104,-132,1
Dereck Lively II,DAL,UTA,7.5,-136,106,0
Lauri Markkanen,UTA,DAL,6.5,-120,-106,1
John Collins,UTA,DAL,8.5,-120,-106,1
P.J. Washington,DAL,UTA,8.5,112,-142,0
Naji Marshall,DAL,UTA,4.5,-113,-113,0
Quentin Grimes,DAL,UTA,3.5,-102,-125,0
Kyrie Irving,DAL,UTA,4.5,114,-146,0
