Player Name,Player Team,Opposing Team,Rebounds Line,Over Odds,Under Odds,Home/Away
Tobias Harris,DET,BKN,7.5,103,-133,0
Cade Cunningham,DET,BKN,4.5,-125,-103,0
Jaden Ivey,DET,BKN,3.5,-108,-120,0
Dorian Finney-Smith,BKN,DET,4.5,-109,-119,1
Dennis Schroder,BKN,DET,3.5,-102,-127,1
Tim Hardaway Jr.,DET,BKN,2.5,-105,-123,0
Jalen Duren,DET,BKN,9.5,-125,-103,0
Cameron Johnson,BKN,DET,4.5,-135,105,1
Cam Thomas,BKN,DET,3.5,-112,-115,1
Zion Williamson,NOP,ATL,7.5,102,-132,1
Trae Young,ATL,NOP,3.5,122,-159,0
Brandon Ingram,NOP,ATL,5.5,-125,-103,1
Jalen Johnson,ATL,NOP,8.5,-119,-109,0
Clint Capela,ATL,NOP,7.5,-130,100,0
Jordan Hawkins,NOP,ATL,4.5,113,-147,1
Zaccharie Risacher,ATL,NOP,3.5,118,-154,0
Jose Alvarado,NOP,ATL,3.5,-167,127,1
Wendell Carter Jr.,ORL,DAL,8.5,-116,-111,0
Franz Wagner,ORL,DAL,5.5,-135,105,0
Luka Doncic,DAL,ORL,9.5,128,-167,1
Jalen Suggs,ORL,DAL,4.5,-152,116,0
P.J. Washington,DAL,ORL,6.5,-118,-110,1
Anthony Black,ORL,DAL,2.5,-161,124,0
Daniel Gafford,DAL,ORL,6.5,109,-141,1
Kyrie Irving,DAL,ORL,4.5,107,-139,1
Kentavious Caldwell-Pope,ORL,DAL,2.5,117,-152,0
Klay Thompson,DAL,ORL,3.5,126,-164,1
Dereck Lively II,DAL,ORL,7.5,-130,100,1
