Player Name,Player Team,Opposing Team,Rebounds Line,Over Odds,Under Odds,Home/Away
Nicolas Claxton,BKN,NOP,9.5,-122,-106,0
Brandon Ingram,NOP,BKN,5.5,-103,-125,1
Jose Alvarado,NOP,BKN,3.5,-115,-112,1
Cam Thomas,BKN,NOP,3.5,122,-159,0
Ben Simmons,BKN,NOP,6.5,102,-132,0
Dorian Finney-Smith,BKN,NOP,4.5,-108,-120,0
Jalen Wilson,BKN,NOP,3.5,120,-156,0
Cameron Johnson,BKN,NOP,4.5,110,-143,0
Dennis Schroder,BKN,NOP,3.5,110,-143,0
Yves Missi,NOP,BKN,5.5,-114,-114,1
Ziaire Williams,BKN,NOP,3.5,118,-154,0
B.J. Boston Jr.,NOP,BKN,4.5,-135,105,1
Zach LaVine,CHI,CLE,4.5,100,-130,1
Coby White,CHI,CLE,3.5,102,-132,1
Patrick Williams,CHI,CLE,4.5,104,-135,1
Jarrett Allen,CLE,CHI,10.5,-133,103,0
Darius Garland,CLE,CHI,2.5,-135,104,0
Isaac Okoro,CLE,CHI,2.5,112,-145,0
Nikola Vucevic,CHI,CLE,9.5,-120,-108,1
Evan Mobley,CLE,CHI,8.5,-132,102,0
Ayo Dosunmu,CHI,CLE,3.5,109,-141,1
Donovan Mitchell,CLE,CHI,3.5,-159,122,0
Caris LeVert,CLE,CHI,3.5,-125,-103,0
Jalen Smith,CHI,CLE,5.5,100,-130,1
Josh Giddey,CHI,CLE,6.5,115,-149,1
Alperen Sengun,HOU,WAS,10.5,-115,-112,1
Jordan Poole,WAS,HOU,2.5,-159,122,0
Jalen Green,HOU,WAS,5.5,117,-152,1
Jabari Smith Jr.,HOU,WAS,6.5,-115,-112,1
Bilal Coulibaly,WAS,HOU,5.5,-122,-106,0
Fred VanVleet,HOU,WAS,3.5,-152,117,1
Dillon Brooks,HOU,WAS,3.5,-123,-105,1
Kyshawn George,WAS,HOU,4.5,-123,-104,0
Alex Sarr,WAS,HOU,6.5,-122,-106,0
Terance Mann,LAC,OKC,3.5,-120,-108,0
Norman Powell,LAC,OKC,3.5,115,-149,0
Luguentz Dort,OKC,LAC,3.5,-143,110,1
Shai Gilgeous-Alexander,OKC,LAC,6.5,118,-154,1
Jalen Williams,OKC,LAC,5.5,-118,-110,1
James Harden,LAC,OKC,5.5,-167,128,0
Kevin Porter Jr.,LAC,OKC,2.5,-143,110,0
Derrick Jones,LAC,OKC,3.5,134,-175,0
Ivica Zubac,LAC,OKC,12.5,-110,-118,0
De'Aaron Fox,SAC,SAS,4.5,-147,113,0
Domantas Sabonis,SAC,SAS,12.5,-116,-111,0
Keldon Johnson,SAS,SAC,5.5,-119,-109,1
Kevin Huerter,SAC,SAS,4.5,112,-145,0
Julian Champagnie,SAS,SAC,4.5,-135,105,1
Victor Wembanyama,SAS,SAC,11.5,-112,-115,1
Chris Paul,SAS,SAC,3.5,-109,-119,1
Stephon Castle,SAS,SAC,3.5,-130,100,1
DeMar DeRozan,SAC,SAS,3.5,-167,128,0
Harrison Barnes,SAS,SAC,3.5,109,-141,1
Keegan Murray,SAC,SAS,7.5,-130,100,0
