Player Name,Player Team,Opposing Team,Rebounds Line,Over Odds,Under Odds,Home/Away
Tyrese Haliburton,IND,ORL,3.5,-146,114,0
Pascal Siakam,IND,ORL,6.5,-128,100,0
Obi Toppin,IND,ORL,3.5,-113,-113,0
Wendell Carter Jr.,ORL,IND,9.5,-120,-106,1
Andrew Nembhard,IND,ORL,2.5,112,-142,0
Bennedict Mathurin,IND,ORL,3.5,106,-136,0
T.J. McConnell,IND,ORL,2.5,-113,-113,0
Paolo Banchero,ORL,IND,7.5,-113,-113,1
Jalen Suggs,ORL,IND,3.5,-132,106,1
Myles Turner,IND,ORL,7.5,100,-128,0
Aaron Nesmith,IND,ORL,3.5,102,-130,0
Moe Wagner,ORL,IND,4.5,136,-174,1
Onyeka Okongwu,ATL,WAS,8.5,112,-142,1
Jalen Johnson,ATL,WAS,9.5,104,-132,1
Bilal Coulibaly,WAS,ATL,5.5,102,-130,0
Clint Capela,ATL,WAS,9.5,100,-128,1
Dyson Daniels,ATL,WAS,5.5,-130,102,1
Trae Young,ATL,WAS,3.5,102,-130,1
Jordan Poole,WAS,ATL,2.5,-154,120,0
Kyle Kuzma,WAS,ATL,6.5,-128,100,0
Alex Sarr,WAS,ATL,5.5,-122,-104,0
Jaylen Brown,BOS,MIL,5.5,-150,118,1
Taurean Prince,MIL,BOS,3.5,-148,116,0
Giannis Antetokounmpo,MIL,BOS,11.5,104,-132,0
Derrick White,BOS,MIL,4.5,104,-132,1
Jayson Tatum,BOS,MIL,8.5,-115,-111,1
Jrue Holiday,BOS,MIL,5.5,122,-156,1
Damian Lillard,MIL,BOS,3.5,-160,124,0
Bobby Portis,MIL,BOS,7.5,-146,114,0
Brook Lopez,MIL,BOS,4.5,114,-146,0
Al Horford,BOS,MIL,5.5,-150,118,1
Jalen Brunson,NYK,CLE,3.5,-102,-125,1
Donovan Mitchell,CLE,NYK,3.5,-132,104,0
Dean Wade,CLE,NYK,3.5,-122,-104,0
OG Anunoby,NYK,CLE,4.5,-142,112,1
Darius Garland,CLE,NYK,2.5,-113,-113,0
Mikal Bridges,NYK,CLE,3.5,-146,114,1
Jarrett Allen,CLE,NYK,9.5,-113,-113,0
Karl-Anthony Towns,NYK,CLE,10.5,-128,100,1
Evan Mobley,CLE,NYK,8.5,-128,100,0
Jakob Poeltl,TOR,DEN,7.5,-148,116,1
Jamal Murray,DEN,TOR,3.5,-128,100,0
Christian Braun,DEN,TOR,4.5,-142,112,0
Scottie Barnes,TOR,DEN,6.5,110,-140,1
Russell Westbrook,DEN,TOR,3.5,-102,-125,0
Aaron Gordon,DEN,TOR,6.5,118,-150,0
Nikola Jokic,DEN,TOR,11.5,-125,-102,0
Michael Porter Jr.,DEN,TOR,6.5,-104,-122,0
Haywood Highsmith,MIA,DET,3.5,-122,-104,1
Tyler Herro,MIA,DET,4.5,-108,-118,1
Terry Rozier,MIA,DET,3.5,-122,-104,1
Bam Adebayo,MIA,DET,9.5,-132,104,1
Nikola Jovic,MIA,DET,4.5,-138,108,1
Tobias Harris,DET,MIA,6.5,-138,108,0
Jimmy Butler,MIA,DET,4.5,-148,116,1
Jalen Duren,DET,MIA,10.5,-122,-104,0
Cade Cunningham,DET,MIA,4.5,-130,102,0
Jaime Jaquez Jr.,MIA,DET,3.5,106,-136,1
Isaiah Stewart II,DET,MIA,4.5,-108,-118,0
Jaden Ivey,DET,MIA,3.5,-102,-125,0
Tim Hardaway Jr.,DET,MIA,3.5,112,-142,0
Zach LaVine,CHI,MEM,4.5,-130,102,0
Patrick Williams,CHI,MEM,4.5,114,-146,0
Nikola Vucevic,CHI,MEM,10.5,-115,-111,0
Ja Morant,MEM,CHI,4.5,-128,100,1
Coby White,CHI,MEM,3.5,-166,130,0
Desmond Bane,MEM,CHI,4.5,-104,-122,1
Josh Giddey,CHI,MEM,6.5,114,-146,0
Zach Edey,MEM,CHI,6.5,110,-140,1
Jaren Jackson Jr.,MEM,CHI,4.5,-130,102,1
Marcus Smart,MEM,CHI,2.5,112,-142,1
Dillon Brooks,HOU,SAS,2.5,-170,130,0
Jeremy Sochan,SAS,HOU,7.5,114,-146,1
Chris Paul,SAS,HOU,3.5,-122,-104,1
Jalen Green,HOU,SAS,4.5,-156,122,0
Julian Champagnie,SAS,HOU,4.5,130,-166,1
Alperen Sengun,HOU,SAS,9.5,114,-146,0
Fred VanVleet,HOU,SAS,3.5,106,-136,0
Harrison Barnes,SAS,HOU,3.5,-108,-118,1
Victor Wembanyama,SAS,HOU,10.5,-130,102,1
Jabari Smith Jr.,HOU,SAS,7.5,100,-128,0
Lauri Markkanen,UTA,DAL,6.5,-128,100,0
Taylor Hendricks,UTA,DAL,4.5,-142,112,0
Kyrie Irving,DAL,UTA,3.5,-160,124,1
Dereck Lively II,DAL,UTA,8.5,-122,-104,1
Daniel Gafford,DAL,UTA,5.5,-122,-104,1
Luka Doncic,DAL,UTA,8.5,-146,114,1
Jordan Clarkson,UTA,DAL,2.5,104,-132,0
John Collins,UTA,DAL,6.5,-111,-115,0
P.J. Washington,DAL,UTA,5.5,-108,-115,1
Walker Kessler,UTA,DAL,8.5,112,-142,0
Naji Marshall,DAL,UTA,3.5,118,-150,1
D'Angelo Russell,LAL,PHX,2.5,-113,-113,0
Jusuf Nurkic,PHX,LAL,8.5,-146,114,1
Devin Booker,PHX,LAL,3.5,-102,-125,1
LeBron James,LAL,PHX,6.5,-120,-106,0
Rui Hachimura,LAL,PHX,5.5,-106,-120,0
Anthony Davis,LAL,PHX,12.5,108,-138,0
Austin Reaves,LAL,PHX,4.5,-104,-122,0
Kevin Durant,PHX,LAL,5.5,-122,-104,1
Bradley Beal,PHX,LAL,3.5,-122,-104,1
Keegan Murray,SAC,POR,6.5,116,-148,1
Deandre Ayton,POR,SAC,10.5,104,-132,0
DeMar DeRozan,SAC,POR,3.5,-146,114,1
Toumani Camara,POR,SAC,4.5,-130,102,0
Jerami Grant,POR,SAC,3.5,130,-166,0
Domantas Sabonis,SAC,POR,13.5,112,-142,1
Deni Avdija,POR,SAC,6.5,108,-138,0
De'Aaron Fox,SAC,POR,4.5,114,-146,1
