Player Name,Player Team,Opposing Team,Rebounds Line,Over Odds,Under Odds,Home/Away
Myles Turner,IND,NYK,8.5,105,-135,1
Bennedict Mathurin,IND,NYK,5.5,-114,-114,1
Tyrese Haliburton,IND,NYK,4.5,110,-143,1
Miles McBride,NYK,IND,2.5,112,-145,0
Josh Hart,NYK,IND,9.5,103,-133,0
Jalen Brunson,NYK,IND,3.5,124,-161,0
Mikal Bridges,NYK,IND,4.5,120,-156,0
Karl-Anthony Towns,NYK,IND,11.5,-149,115,0
Pascal Siakam,IND,NYK,6.5,-145,112,1
Ben Sheppard,IND,NYK,3.5,-130,100,1
OG Anunoby,NYK,IND,5.5,126,-164,0
Franz Wagner,ORL,WAS,6.5,100,-130,1
Jalen Suggs,ORL,WAS,5.5,-102,-127,1
Jordan Poole,WAS,ORL,2.5,-114,-114,0
Goga Bitadze,ORL,WAS,9.5,106,-137,1
Bilal Coulibaly,WAS,ORL,4.5,-156,121,0
Kentavious Caldwell-Pope,ORL,WAS,3.5,122,-159,1
Alex Sarr,WAS,ORL,6.5,106,-137,0
Moe Wagner,ORL,WAS,5.5,-112,-115,1
Anthony Black,ORL,WAS,3.5,102,-132,1
Corey Kispert,WAS,ORL,3.5,132,-172,0
Jonas Valanciunas,WAS,ORL,8.5,100,-130,0
Andre Drummond,PHI,CHA,12.5,-106,-122,1
Brandon Miller,CHA,PHI,4.5,-132,102,0
Tre Mann,CHA,PHI,3.5,-105,-123,0
Kelly Oubre Jr.,PHI,CHA,4.5,-141,109,1
Kyle Lowry,PHI,CHA,2.5,-149,115,1
Josh Green,CHA,PHI,2.5,-120,-108,0
Caleb Martin,PHI,CHA,4.5,-123,-105,1
Paul George,PHI,CHA,4.5,-114,-114,1
LaMelo Ball,CHA,PHI,5.5,-123,-104,0
Grant Williams,CHA,PHI,4.5,-135,105,0
Cody Martin,CHA,PHI,3.5,-164,126,0
Stephen Curry,GSW,OKC,4.5,-114,-114,0
Luguentz Dort,OKC,GSW,3.5,-105,-123,1
Draymond Green,GSW,OKC,5.5,-141,108,0
Shai Gilgeous-Alexander,OKC,GSW,6.5,122,-159,1
Chet Holmgren,OKC,GSW,9.5,100,-130,1
Jalen Williams,OKC,GSW,5.5,-133,103,1
Trayce Jackson-Davis,GSW,OKC,4.5,-114,-114,0
Alex Caruso,OKC,GSW,2.5,-135,105,1
Jonathan Kuminga,GSW,OKC,4.5,113,-147,0
Andrew Wiggins,GSW,OKC,4.5,115,-149,0
Bam Adebayo,MIA,MIN,9.5,-105,-123,0
Tyler Herro,MIA,MIN,4.5,-116,-111,0
Naz Reid,MIN,MIA,5.5,-103,-125,1
Jaden McDaniels,MIN,MIA,3.5,126,-164,1
Anthony Edwards,MIN,MIA,5.5,-135,104,1
Nickeil Alexander-Walker,MIN,MIA,2.5,122,-159,1
Terry Rozier,MIA,MIN,3.5,-116,-111,0
Mike Conley,MIN,MIA,2.5,-110,-118,1
Julius Randle,MIN,MIA,7.5,-112,-115,1
Donte DiVincenzo,MIN,MIA,3.5,102,-132,1
Rudy Gobert,MIN,MIA,11.5,100,-130,1
Nikola Jokic,DEN,DAL,12.5,-130,100,1
Jamal Murray,DEN,DAL,3.5,-123,-105,1
Luka Doncic,DAL,DEN,9.5,112,-145,0
Michael Porter Jr.,DEN,DAL,7.5,115,-149,1
Christian Braun,DEN,DAL,4.5,-135,104,1
Peyton Watson,DEN,DAL,4.5,-123,-104,1
Kyrie Irving,DAL,DEN,4.5,106,-137,0
Daniel Gafford,DAL,DEN,6.5,-135,105,0
Naji Marshall,DAL,DEN,4.5,-112,-115,0
Klay Thompson,DAL,DEN,3.5,100,-130,0
Russell Westbrook,DEN,DAL,3.5,-156,121,1
Julian Strawther,DEN,DAL,2.5,-108,-120,1
Devin Booker,PHX,SAC,4.5,-102,-127,1
De'Aaron Fox,SAC,PHX,4.5,-135,104,0
Keegan Murray,SAC,PHX,7.5,115,-149,0
Domantas Sabonis,SAC,PHX,12.5,-127,-102,0
Malik Monk,SAC,PHX,3.5,117,-152,0
Kevin Huerter,SAC,PHX,2.5,-172,133,0
Jusuf Nurkic,PHX,SAC,11.5,106,-137,1
Bradley Beal,PHX,SAC,4.5,-102,-127,1
DeMar DeRozan,SAC,PHX,3.5,-143,110,0
Tyus Jones,PHX,SAC,2.5,-137,106,1
Royce O'Neale,PHX,SAC,6.5,109,-141,1
Santi Aldama,MEM,POR,7.5,113,-147,0
Jaren Jackson Jr.,MEM,POR,5.5,-106,-122,0
Scotty Pippen Jr.,MEM,POR,3.5,-156,120,0
Zach Edey,MEM,POR,7.5,115,-149,0
Jaylen Wells,MEM,POR,3.5,-108,-120,0
Deni Avdija,POR,MEM,5.5,-135,104,1
Anfernee Simons,POR,MEM,2.5,-145,111,1
Jerami Grant,POR,MEM,3.5,-103,-125,1
Deandre Ayton,POR,MEM,9.5,-132,102,1
Toumani Camara,POR,MEM,4.5,-145,112,1
Austin Reaves,LAL,TOR,3.5,-149,115,1
LeBron James,LAL,TOR,7.5,-116,-111,1
Rui Hachimura,LAL,TOR,4.5,-145,111,1
R.J. Barrett,TOR,LAL,5.5,-101,-128,0
Jakob Poeltl,TOR,LAL,10.5,100,-130,0
Anthony Davis,LAL,TOR,13.5,103,-133,1
Davion Mitchell,TOR,LAL,1.5,-192,145,0
Immanuel Quickley,TOR,LAL,3.5,122,-159,0
Ochai Agbaji,TOR,LAL,4.5,100,-130,0
Gradey Dick,TOR,LAL,3.5,115,-149,0
