Date,Model,Player,Exact Prediction,Betting Line,Standard Deviation Estimate (RMSE),Probability Over Line,Probability Under Line,Implied Probability Over (from odds),Implied Probability Under (from odds),Edge Over,Edge Under,Result
2024-11-07,CONSENSUS PICK,Coby White,3.896913903673429,3.5,2.837876382540085,55.56%,44.44%,55.16%,50.98%,0.0040463753582478,-0.0654198036533326,
2024-11-07,CONSENSUS PICK,Naz Reid,5.612404506701672,5.5,2.837876382540085,51.58%,48.42%,51.92%,54.55%,-0.0034333271749877,-0.0612519875103269,
2024-11-07,CONSENSUS PICK,Patrick Williams,3.253994598585312,3.5,2.837876382540085,46.55%,53.45%,59.18%,47.39%,-0.1263763572090029,0.0606059732260259,
2024-11-07,CONSENSUS PICK,Jaden McDaniels,3.340160695657907,2.5,2.837876382540085,61.64%,38.36%,59.51%,46.95%,0.0212633455677071,-0.0858886140476827,
2024-11-07,CONSENSUS PICK,Nikola Vucevic,8.271670002485008,9.5,2.837876382540085,33.26%,66.74%,57.08%,49.26%,-0.2382478434712022,0.1748215553890017,
2024-11-07,CONSENSUS PICK,Anthony Edwards,5.566839276819678,5.5,2.837876382540085,50.94%,49.06%,55.56%,50.74%,-0.0461603089552449,-0.0167844091618871,
2024-11-07,CONSENSUS PICK,Mike Conley,3.0343299481173465,2.5,2.837876382540085,57.47%,42.53%,55.56%,50.74%,0.0191178771151284,-0.0820625952322604,
2024-11-07,CONSENSUS PICK,Julius Randle,8.500090767089285,7.5,2.837876382540085,63.77%,36.23%,49.50%,56.90%,0.1426843998423226,-0.206699422034197,
2024-11-07,CONSENSUS PICK,Nickeil Alexander-Walker,2.2484984337108984,1.5,2.837876382540085,60.40%,39.60%,58.85%,47.62%,0.0155375105433027,-0.0802053529889229,
2024-11-07,CONSENSUS PICK,Donte DiVincenzo,3.4471940287380325,3.5,2.837876382540085,49.26%,50.74%,43.86%,62.55%,0.0539805924313736,-0.1180452484534512,
2024-11-07,CONSENSUS PICK,Rudy Gobert,12.746989278107526,11.5,2.837876382540085,66.98%,33.02%,54.13%,52.38%,0.1285331022358432,-0.1936270297150918,
2024-11-07,CONSENSUS PICK,Ayo Dosunmu,2.011579088878392,3.5,2.837876382540085,30.00%,70.00%,57.81%,48.54%,-0.2780881179377661,0.2145921530039247,
2024-11-07,CONSENSUS PICK,Josh Giddey,4.431110061020385,6.5,2.837876382540085,23.30%,76.70%,51.46%,54.95%,-0.281570687921464,0.2174580315757979,
2024-11-07,CONSENSUS PICK,Giannis Antetokounmpo,10.948305374821976,11.5,2.837876382540085,42.29%,57.71%,50.50%,55.95%,-0.0820207304595844,0.0175988697713129,
2024-11-07,CONSENSUS PICK,Lauri Markkanen,7.1063695323366005,7.5,2.837876382540085,44.48%,55.52%,47.17%,59.18%,-0.0268568729676693,-0.0366779749337553,
2024-11-07,CONSENSUS PICK,Walker Kessler,7.840767440331672,10.5,2.837876382540085,17.44%,82.56%,47.62%,58.85%,-0.3018241015465808,0.2371562591009606,
2024-11-07,CONSENSUS PICK,Keyonte George,3.9568962828470142,3.5,2.837876382540085,56.40%,43.60%,43.86%,62.55%,0.1253565566242014,-0.189421212646279,
2024-11-07,CONSENSUS PICK,Anfernee Simons,3.7849806266940753,3.5,2.837876382540085,54.00%,46.00%,47.17%,59.18%,0.068296591744103,-0.1318314396455278,
2024-11-07,CONSENSUS PICK,Zach Collins,6.484457240542446,4.5,2.837876382540085,75.78%,24.22%,46.51%,59.84%,0.2926937629230692,-0.3562036162900254,
2024-11-07,CONSENSUS PICK,Jerami Grant,3.941784643282871,3.5,2.837876382540085,56.19%,43.81%,53.27%,53.27%,0.0291448728333382,-0.0945654335810016,
2024-11-07,CONSENSUS PICK,Keldon Johnson,5.859224524305211,5.5,2.837876382540085,55.04%,44.96%,53.49%,52.83%,0.015480720545496,-0.0786663282681814,
2024-11-07,CONSENSUS PICK,Malaki Branham,2.918684997225098,2.5,2.837876382540085,55.86%,44.14%,45.87%,60.63%,0.0999293734324842,-0.1649441823611847,
2024-11-07,CONSENSUS PICK,Julian Champagnie,3.9949603518073,4.5,2.837876382540085,42.94%,57.06%,56.90%,50.25%,-0.1395898676244226,0.0681367881939885,
2024-11-07,CONSENSUS PICK,Victor Wembanyama,9.05240706773612,11.5,2.837876382540085,19.42%,80.58%,50.74%,55.56%,-0.3131756341174013,0.2502309160002693,
2024-11-07,CONSENSUS PICK,Toumani Camara,4.449301401599598,4.5,2.837876382540085,49.29%,50.71%,60.63%,45.66%,-0.1134259284642474,0.0505057112996122,
2024-11-07,CONSENSUS PICK,Deni Avdija,6.72630900313208,6.5,2.837876382540085,53.18%,46.82%,46.51%,59.84%,0.066664044122354,-0.1301738974893102,
2024-11-07,CONSENSUS PICK,Chris Paul,2.949397382977424,3.5,2.837876382540085,42.31%,57.69%,60.63%,45.87%,-0.1832188039259383,0.1182039949972378,
2024-11-07,CONSENSUS PICK,Harrison Barnes,3.704677771939304,3.5,2.837876382540085,52.87%,47.13%,56.14%,50.25%,-0.0326552937918951,-0.0312357771690894,
2024-11-07,CONSENSUS PICK,Scoot Henderson,3.425138551763212,2.5,2.837876382540085,62.78%,37.22%,52.83%,53.49%,0.0994847160631592,-0.1626703237858445,
2024-11-07,CONSENSUS PICK,Deandre Ayton,9.134963409407796,10.5,2.837876382540085,31.53%,68.47%,55.16%,51.22%,-0.2363135176749886,0.1725488889973117,
