Date,Model,Player,Exact Prediction,Betting Line,Standard Deviation Estimate (RMSE),Probability Over Line,Probability Under Line,Implied Probability Over (from odds),Implied Probability Under (from odds),Edge Over,Edge Under,Result
2024-10-25,CONSENSUS PICK,Cameron Johnson,4.925955814146186,4.5,2.837876382540085,55.97%,44.03%,45.45%,59.68%,0.105110374541708,-0.1564300226355497,
2024-10-25,CONSENSUS PICK,Jalen Wilson,4.256253786762922,3.5,2.837876382540085,60.51%,39.49%,59.02%,45.87%,0.0149035224092566,-0.0637830531657613,
2024-10-25,CONSENSUS PICK,Franz Wagner,5.429823405975683,5.5,2.837876382540085,49.01%,50.99%,50.00%,54.95%,-0.0098642624380402,-0.0396852871115093,
2024-10-25,CONSENSUS PICK,Jalen Suggs,3.173138511064359,3.5,2.837876382540085,45.42%,54.58%,52.38%,52.38%,-0.0696575843896093,0.0220385367705616,
2024-10-25,CONSENSUS PICK,Dennis Schroder,3.179386049986307,2.5,2.837876382540085,59.46%,40.54%,61.83%,43.10%,-0.0237185382490707,-0.0256365551965728,
2024-10-25,CONSENSUS PICK,Dorian Finney-Smith,5.054762508381902,4.5,2.837876382540085,57.75%,42.25%,54.95%,50.00%,0.0279438443556065,-0.0774933939051562,
2024-10-25,CONSENSUS PICK,Cam Thomas,4.0869562262164125,3.5,2.837876382540085,58.19%,41.81%,47.62%,57.26%,0.1057379705115263,-0.1545780193515751,
2024-10-25,CONSENSUS PICK,Ben Simmons,7.443953594299998,6.5,2.837876382540085,63.03%,36.97%,52.38%,52.38%,0.1064824514318006,-0.1541014990508483,
2024-10-25,CONSENSUS PICK,Wendell Carter Jr.,6.1191491442210975,8.5,2.837876382540085,20.07%,79.93%,47.17%,57.98%,-0.2709508593169876,0.2194208133363311,
2024-10-25,CONSENSUS PICK,Ziaire Williams,4.394192086187705,2.5,2.837876382540085,74.78%,25.22%,52.38%,52.38%,0.2239539010392534,-0.271572948658301,
2024-10-25,CONSENSUS PICK,Paolo Banchero,7.223913696102531,7.5,2.837876382540085,46.12%,53.88%,55.36%,49.50%,-0.0923218843941309,0.0437009508722072,
2024-10-25,CONSENSUS PICK,Kentavious Caldwell-Pope,2.702717473599964,2.5,2.837876382540085,52.85%,47.15%,44.25%,60.63%,0.0859954735276105,-0.1347725622322304,
2024-10-25,CONSENSUS PICK,Jakob Poeltl,8.188278207481913,9.5,2.837876382540085,32.20%,67.80%,53.49%,51.22%,-0.2129217592616535,0.1658429163802015,
2024-10-25,CONSENSUS PICK,Scottie Barnes,7.3751633870682864,7.5,2.837876382540085,48.25%,51.75%,46.73%,58.33%,0.0151666882443881,-0.0657897412038897,
2024-10-25,CONSENSUS PICK,Chris Boucher,5.036883342152986,5.5,2.837876382540085,43.52%,56.48%,43.10%,61.83%,0.0041494360866428,-0.0535045295322864,
2024-10-25,CONSENSUS PICK,Tyrese Maxey,3.498253053712666,3.5,2.837876382540085,49.98%,50.02%,60.63%,44.25%,-0.1065447943636774,0.0577677056590575,
2024-10-25,CONSENSUS PICK,Ochai Agbaji,2.723735513739875,4.5,2.837876382540085,26.57%,73.43%,50.50%,54.55%,-0.2392645799877506,0.1888595394837002,
2024-10-25,CONSENSUS PICK,Davion Mitchell,2.8863172218116038,2.5,2.837876382540085,55.41%,44.59%,59.68%,45.45%,-0.0426338519448107,-0.0086857961490308,
2024-10-25,CONSENSUS PICK,Gradey Dick,2.691059000601209,3.5,2.837876382540085,38.78%,61.22%,57.98%,47.17%,-0.1920296002681436,0.1404995542874871,
2024-10-25,CONSENSUS PICK,Kyle Lowry,4.178789310415941,2.5,2.837876382540085,72.29%,27.71%,62.12%,42.74%,0.1017170346101025,-0.150279583172651,
