Date,Model,Player,Exact Prediction,Betting Line,Standard Deviation Estimate (RMSE),Probability Over Line,Probability Under Line,Implied Probability Over (from odds),Implied Probability Under (from odds),Edge Over,Edge Under,Result
2024-11-18,CONSENSUS PICK,Tobias Harris,6.048796664894588,7.5,2.837876382540085,30.45%,69.55%,49.26%,57.08%,-0.1880646523165554,0.1246383642343549,
2024-11-18,CONSENSUS PICK,Coby White,4.031253619872282,3.5,2.837876382540085,57.42%,42.58%,46.51%,59.84%,0.109132245167222,-0.1726420985341782,
2024-11-18,CONSENSUS PICK,Zach LaVine,4.326868954213876,4.5,2.837876382540085,47.57%,52.43%,54.13%,52.38%,-0.0656076877582529,0.0005137602790044,
2024-11-18,CONSENSUS PICK,Nikola Vucevic,8.030962673686963,9.5,2.837876382540085,30.23%,69.77%,56.52%,49.75%,-0.2628674518683822,0.2001376227530891,
2024-11-18,CONSENSUS PICK,Ayo Dosunmu,2.1736611980906946,3.5,2.837876382540085,32.01%,67.99%,45.87%,60.63%,-0.1385980702867694,0.0735832613580689,
2024-11-18,CONSENSUS PICK,Patrick Williams,3.3691968681175006,3.5,2.837876382540085,48.16%,51.84%,61.39%,45.05%,-0.1322811153434212,0.0679310509933568,
2024-11-18,CONSENSUS PICK,Cade Cunningham,4.281165741977337,6.5,2.837876382540085,21.71%,78.29%,53.49%,52.83%,-0.3177365599249977,0.2545509522023124,
2024-11-18,CONSENSUS PICK,Jalen Duren,10.130003309159603,10.5,2.837876382540085,44.81%,55.19%,53.70%,52.61%,-0.0889033574136245,0.0257999696656869,
2024-11-18,CONSENSUS PICK,Josh Giddey,4.611990898072613,5.5,2.837876382540085,37.72%,62.28%,49.26%,57.08%,-0.115437549408176,0.0520112613259755,
2024-11-18,CONSENSUS PICK,Jaden Ivey,3.6480143792188,3.5,2.837876382540085,52.08%,47.92%,62.12%,44.44%,-0.100414022644267,0.0347574569877014,
2024-11-18,CONSENSUS PICK,Malik Beasley,3.243851370135016,2.5,2.837876382540085,60.34%,39.66%,57.81%,48.54%,0.0253247274000976,-0.0888206923339389,
2024-11-18,CONSENSUS PICK,Myles Turner,6.902868224509416,7.5,2.837876382540085,41.67%,58.33%,56.52%,50.00%,-0.1485455003675811,0.0833281090632334,
2024-11-18,CONSENSUS PICK,Jakob Poeltl,9.341930314646106,11.5,2.837876382540085,22.35%,77.65%,53.70%,52.61%,-0.3135449079995714,0.2504415202516339,
2024-11-18,CONSENSUS PICK,Chris Boucher,5.143554588132317,5.5,2.837876382540085,45.00%,55.00%,56.52%,49.75%,-0.1151942448903804,0.0524644157750873,
2024-11-18,CONSENSUS PICK,Pascal Siakam,6.670296308158076,7.5,2.837876382540085,38.50%,61.50%,51.92%,54.55%,-0.1342280590119586,0.0695427443266439,
2024-11-18,CONSENSUS PICK,Bennedict Mathurin,4.400439007451163,6.5,2.837876382540085,22.97%,77.03%,50.50%,55.95%,-0.2752505124802313,0.2108286517919598,
