Date,Model,Player,Exact Prediction,Betting Line,Standard Deviation Estimate (RMSE),Probability Over Line,Probability Under Line,Implied Probability Over (from odds),Implied Probability Under (from odds),Edge Over,Edge Under,Result
2024-11-14,CONSENSUS PICK,Jordan Clarkson,3.432266141896289,3.5,2.837876382540085,49.05%,50.95%,49.02%,57.45%,0.0002829520875053,-0.0649471156252609,
2024-11-14,CONSENSUS PICK,Luka Doncic,7.699213190834766,8.5,2.837876382540085,38.89%,61.11%,55.95%,50.50%,-0.1705679235639251,0.1061460628756536,
2024-11-14,CONSENSUS PICK,Collin Sexton,3.5898272609839847,2.5,2.837876382540085,64.95%,35.05%,59.51%,46.95%,0.0543798791845281,-0.1190051476645037,
2024-11-14,CONSENSUS PICK,Lauri Markkanen,7.097826334728604,7.5,2.837876382540085,44.37%,55.63%,48.31%,58.16%,-0.0394397829221135,-0.0252419626764958,
2024-11-14,CONSENSUS PICK,Dereck Lively II,8.362381856294718,8.5,2.837876382540085,48.07%,51.93%,50.74%,55.56%,-0.0267276320404621,-0.0362170860766698,
2024-11-14,CONSENSUS PICK,John Collins,7.575731773785171,10.5,2.837876382540085,15.14%,84.86%,46.08%,60.32%,-0.3094283102677031,0.2454242140055423,
2024-11-14,CONSENSUS PICK,Keyonte George,3.817340783264296,2.5,2.837876382540085,67.87%,32.13%,56.90%,49.50%,0.1097820712164668,-0.1737970934083413,
2024-11-14,CONSENSUS PICK,Naji Marshall,4.219470927082207,4.5,2.837876382540085,46.06%,53.94%,49.26%,57.08%,-0.0319828515513071,-0.0314434365308933,
2024-11-14,CONSENSUS PICK,Klay Thompson,4.391856966736206,3.5,2.837876382540085,62.33%,37.67%,45.87%,60.63%,0.1646260859959276,-0.2296408949246281,
2024-11-14,CONSENSUS PICK,Kyrie Irving,5.036093313293079,4.5,2.837876382540085,57.49%,42.51%,51.92%,54.55%,0.0556861837951412,-0.1203714984804559,
2024-11-14,CONSENSUS PICK,Daniel Gafford,8.987808154041552,7.5,2.837876382540085,70.00%,30.00%,47.17%,59.18%,0.2282558579053192,-0.291790705806744,
