Date,Model,Player,Exact Prediction,Betting Line,Standard Deviation Estimate (RMSE),Probability Over Line,Probability Under Line,Implied Probability Over (from odds),Implied Probability Under (from odds),Edge Over,Edge Under,Result
2024-11-01,CONSENSUS PICK,Miles Bridges,6.321588133527649,5.5,2.837876382540085,61.39%,38.61%,57.45%,48.78%,0.0394356148620522,-0.1017085780172157,
2024-11-01,CONSENSUS PICK,Jaylen Brown,5.484201413040396,6.5,2.837876382540085,36.02%,63.98%,47.17%,59.18%,-0.1115052072429004,0.0479703593414757,
2024-11-01,CONSENSUS PICK,LaMelo Ball,3.7235386626716895,5.5,2.837876382540085,26.57%,73.43%,52.38%,54.13%,-0.2581463583456767,0.1930524308664281,
2024-11-01,CONSENSUS PICK,Jayson Tatum,6.826521767327026,8.5,2.837876382540085,27.77%,72.23%,48.78%,57.45%,-0.2101069164781474,0.1478339533229838,
2024-11-01,CONSENSUS PICK,Derrick White,4.033114829955202,4.5,2.837876382540085,43.47%,56.53%,46.51%,59.84%,-0.0304550649183988,-0.0330547884485573,
2024-11-01,CONSENSUS PICK,Josh Green,2.5034540654740103,2.5,2.837876382540085,50.05%,49.95%,56.52%,50.00%,-0.0647318266669617,-0.000485564637386,
2024-11-01,CONSENSUS PICK,Jrue Holiday,4.893279704361401,4.5,2.837876382540085,55.51%,44.49%,53.27%,53.27%,0.0223996415189197,-0.0878202022665831,
2024-11-01,CONSENSUS PICK,Nick Richards,8.217338005206836,9.5,2.837876382540085,32.56%,67.44%,50.00%,56.52%,-0.1743581304894508,0.109140739185103,
2024-11-01,CONSENSUS PICK,Seth Curry,2.2172107404197923,2.5,2.837876382540085,46.03%,53.97%,45.05%,61.39%,0.0098613645573866,-0.074211428907451,
2024-11-01,CONSENSUS PICK,Darius Garland,2.865898560928349,2.5,2.837876382540085,55.13%,44.87%,56.52%,50.00%,-0.0139223546971581,-0.0512950366071895,
2024-11-01,CONSENSUS PICK,Dean Wade,4.628629448245097,3.5,2.837876382540085,65.46%,34.54%,59.51%,46.73%,0.0594334116296838,-0.1218648316607103,
2024-11-01,CONSENSUS PICK,Evan Mobley,9.848175350478344,8.5,2.837876382540085,68.26%,31.74%,52.83%,53.49%,0.1543277416872225,-0.2175133494099078,
2024-11-01,CONSENSUS PICK,Donovan Mitchell,5.317861544390041,3.5,2.837876382540085,73.91%,26.09%,59.84%,46.51%,0.1407057292237379,-0.2042155825906941,
2024-11-01,CONSENSUS PICK,Caris LeVert,3.847614917446112,2.5,2.837876382540085,68.26%,31.74%,62.12%,44.44%,0.0613471265874643,-0.1270036922440299,
2024-11-01,CONSENSUS PICK,Georges Niang,3.9118661903170207,2.5,2.837876382540085,69.06%,30.94%,49.02%,57.45%,0.2003884885273772,-0.2650526520651328,
2024-11-01,CONSENSUS PICK,Kentavious Caldwell-Pope,2.533296797438168,2.5,2.837876382540085,50.47%,49.53%,43.48%,62.83%,0.0698980728213866,-0.1329334696211281,
2024-11-01,CONSENSUS PICK,Sam Merrill,3.602837489581173,1.5,2.837876382540085,77.07%,22.93%,59.84%,46.51%,0.1722566171479632,-0.2357664705149195,
2024-11-01,CONSENSUS PICK,Jalen Suggs,3.283767620512526,4.5,2.837876382540085,33.41%,66.59%,50.74%,55.56%,-0.1732715460240862,0.1103268279069542,
2024-11-01,CONSENSUS PICK,Wendell Carter Jr.,6.008116988230143,9.5,2.837876382540085,10.93%,89.07%,46.51%,59.84%,-0.355853147307995,0.2923432939410388,
2024-11-01,CONSENSUS PICK,Jarrett Allen,10.285819671009609,10.5,2.837876382540085,46.99%,53.01%,46.51%,59.84%,0.004803291110863,-0.0683131444778192,
2024-11-01,CONSENSUS PICK,Franz Wagner,5.353414494975922,5.5,2.837876382540085,47.94%,52.06%,49.50%,56.90%,-0.0156470059990079,-0.0483680161928664,
2024-11-01,CONSENSUS PICK,Anthony Black,2.5273554148712147,3.5,2.837876382540085,36.59%,63.41%,47.85%,58.51%,-0.112570650605728,0.0490395104202965,
2024-11-01,CONSENSUS PICK,Jalen Duren,9.843293128031616,10.5,2.837876382540085,40.85%,59.15%,52.15%,54.34%,-0.1130321168205823,0.0481220209083235,
2024-11-01,CONSENSUS PICK,Jaden Ivey,3.2462799181531543,3.5,2.837876382540085,46.44%,53.56%,54.34%,52.15%,-0.0789989345899537,0.0140888386776949,
2024-11-01,CONSENSUS PICK,Karl-Anthony Towns,6.942260910984054,10.5,2.837876382540085,10.50%,89.50%,51.92%,54.55%,-0.4142484102715905,0.3495630955862758,
2024-11-01,CONSENSUS PICK,Tim Hardaway Jr.,3.81617106396516,2.5,2.837876382540085,67.86%,32.14%,50.00%,56.52%,0.1785999332933502,-0.243817324597698,
2024-11-01,CONSENSUS PICK,Malik Beasley,3.5281909255584405,2.5,2.837876382540085,64.14%,35.86%,50.74%,55.56%,0.1340506355786234,-0.1969953536957553,
2024-11-01,CONSENSUS PICK,Isaiah Stewart II,1.7446245738887365,5.5,2.837876382540085,9.29%,90.71%,48.78%,57.45%,-0.3949378592570512,0.3326648961018877,
