Date,Model,Player,Exact Prediction,Betting Line,Standard Deviation Estimate (RMSE),Probability Over Line,Probability Under Line,Implied Probability Over (from odds),Implied Probability Under (from odds),Edge Over,Edge Under,Result
2024-11-02,CONSENSUS PICK,Jrue Holiday,4.893279704361401,4.5,2.837876382540085,55.51%,44.49%,47.62%,58.85%,0.0789194457022752,-0.1435872881478954,
2024-11-02,CONSENSUS PICK,Derrick White,4.033114829955202,4.5,2.837876382540085,43.47%,56.53%,49.26%,57.08%,-0.057949623287055,-0.0054766647951454,
2024-11-02,CONSENSUS PICK,Jayson Tatum,6.826521767327026,8.5,2.837876382540085,27.77%,72.23%,54.55%,51.92%,-0.2677565838839123,0.2030712691985976,
2024-11-02,CONSENSUS PICK,LaMelo Ball,3.7235386626716895,6.5,2.837876382540085,16.39%,83.61%,50.00%,56.52%,-0.3360515516456597,0.2708341603413119,
2024-11-02,CONSENSUS PICK,Al Horford,5.76130146958516,6.5,2.837876382540085,39.73%,60.27%,47.17%,59.18%,-0.0743818328719834,0.0108469849705586,
2024-11-02,CONSENSUS PICK,Miles Bridges,6.321588133527649,7.5,2.837876382540085,33.90%,66.10%,47.85%,58.51%,-0.1394873473839409,0.0759562071985093,
2024-11-02,CONSENSUS PICK,Brandon Miller,4.178507618222969,4.5,2.837876382540085,45.49%,54.51%,47.62%,58.85%,-0.0212886683828689,-0.0433791740627512,
2024-11-02,CONSENSUS PICK,Josh Green,2.5034540654740103,3.5,2.837876382540085,36.27%,63.73%,46.51%,59.84%,-0.1023817589823368,0.0388719056153806,
2024-11-02,CONSENSUS PICK,Jaren Jackson Jr.,5.801877833174856,5.5,2.837876382540085,54.24%,45.76%,50.00%,56.52%,0.042357409076587,-0.1075748003809348,
2024-11-02,CONSENSUS PICK,Tyrese Maxey,3.910000771426434,3.5,2.837876382540085,55.74%,44.26%,60.94%,45.45%,-0.0519378956174927,-0.0119825589279617,
2024-11-02,CONSENSUS PICK,Santi Aldama,5.92045021424526,7.5,2.837876382540085,28.89%,71.11%,45.87%,60.63%,-0.1698137494439709,0.1047989405152705,
2024-11-02,CONSENSUS PICK,Ja Morant,5.651808738642686,5.5,2.837876382540085,52.13%,47.87%,51.92%,54.55%,0.0020999880999805,-0.0667853027852952,
2024-11-02,CONSENSUS PICK,Andre Drummond,8.957290081418778,12.5,2.837876382540085,10.59%,89.41%,56.52%,50.00%,-0.4592689628672814,0.3940515715629337,
2024-11-02,CONSENSUS PICK,Kelly Oubre Jr.,4.743687137080405,5.5,2.837876382540085,39.49%,60.51%,50.00%,56.52%,-0.1050754718991753,0.0398580805948275,
2024-11-02,CONSENSUS PICK,Kyle Lowry,3.4187686334561054,2.5,2.837876382540085,62.69%,37.31%,43.48%,62.83%,0.1921545557205637,-0.2551899525203052,
2024-11-02,CONSENSUS PICK,Caleb Martin,3.96089743351378,5.5,2.837876382540085,29.38%,70.62%,48.78%,57.45%,-0.1940137800997227,0.1317408169445592,
2024-11-02,CONSENSUS PICK,Eric Gordon,2.394709293229809,1.5,2.837876382540085,62.37%,37.63%,44.25%,62.12%,0.1812453993957299,-0.2449353967140458,
2024-11-02,CONSENSUS PICK,De'Aaron Fox,4.529140539633217,5.5,2.837876382540085,36.61%,63.39%,43.48%,62.83%,-0.0686477002514056,0.0056123034516641,
2024-11-02,CONSENSUS PICK,Jakob Poeltl,8.3425122167366,11.5,2.837876382540085,13.29%,86.71%,54.13%,52.38%,-0.4083493091584781,0.3432553816792295,
2024-11-02,CONSENSUS PICK,Domantas Sabonis,11.2591126292766,13.5,2.837876382540085,21.49%,78.51%,55.56%,50.74%,-0.3406851624825828,0.2777404443654508,
2024-11-02,CONSENSUS PICK,Keegan Murray,6.236806989848535,6.5,2.837876382540085,46.31%,53.69%,57.45%,48.78%,-0.1114141952522163,0.0491412320970527,
2024-11-02,CONSENSUS PICK,Malik Monk,3.37698990055594,3.5,2.837876382540085,48.27%,51.73%,48.78%,57.45%,-0.0050919477169508,-0.0571810154382126,
2024-11-02,CONSENSUS PICK,Gradey Dick,3.22178003112554,3.5,2.837876382540085,46.10%,53.90%,43.86%,62.55%,0.0223545341524963,-0.086419190174574,
2024-11-02,CONSENSUS PICK,Davion Mitchell,3.215899468848645,2.5,2.837876382540085,59.96%,40.04%,54.13%,52.38%,0.0582978284028011,-0.1233917558820497,
2024-11-02,CONSENSUS PICK,DeMar DeRozan,5.001969865490407,4.5,2.837876382540085,57.02%,42.98%,53.27%,53.27%,0.0374892659680958,-0.1029098267157593,
2024-11-02,CONSENSUS PICK,Ochai Agbaji,2.85239569657152,4.5,2.837876382540085,28.08%,71.92%,46.51%,59.84%,-0.1843533178439176,0.1208434644769614,
2024-11-02,CONSENSUS PICK,Giannis Antetokounmpo,11.124583286669852,11.5,2.837876382540085,44.74%,55.26%,54.55%,51.92%,-0.098076257490129,0.0333909428048143,
2024-11-02,CONSENSUS PICK,Pat Connaughton,3.0449692007182114,2.5,2.837876382540085,57.61%,42.39%,47.17%,59.18%,0.104444162107265,-0.1679790100086898,
2024-11-02,CONSENSUS PICK,Darius Garland,2.707340309931944,2.5,2.837876382540085,52.91%,47.09%,60.32%,46.30%,-0.0740530795131167,0.0079155133755506,
2024-11-02,CONSENSUS PICK,Dean Wade,4.799488398254746,3.5,2.837876382540085,67.65%,32.35%,60.63%,45.66%,0.0701917836298965,-0.1331120007945317,
2024-11-02,CONSENSUS PICK,Bobby Portis,6.566961851755182,8.5,2.837876382540085,24.79%,75.21%,47.85%,58.51%,-0.2305826875014386,0.1670515473160071,
