Date,Model,Player,Exact Prediction,Betting Line,Standard Deviation Estimate (RMSE),Probability Over Line,Probability Under Line,Implied Probability Over (from odds),Implied Probability Under (from odds),Edge Over,Edge Under,Result
2024-11-27,CONSENSUS PICK,Jarrett Allen,9.310681818718418,11.5,2.837876382540085,22.02%,77.98%,51.22%,53.49%,-0.2919790114516296,0.2449001685701776,
2024-11-27,CONSENSUS PICK,Donovan Mitchell,4.673683904634768,4.5,2.837876382540085,52.44%,47.56%,48.54%,56.52%,0.0389639655795889,-0.0896182500878202,
2024-11-27,CONSENSUS PICK,Clint Capela,9.95095996438513,9.5,2.837876382540085,56.31%,43.69%,45.87%,59.02%,0.10441354494294,-0.1532930756994448,
2024-11-27,CONSENSUS PICK,Darius Garland,2.671401874811892,2.5,2.837876382540085,52.41%,47.59%,51.22%,53.49%,0.0118855266181872,-0.0589643694996392,
2024-11-27,CONSENSUS PICK,Trae Young,3.4641458701272643,2.5,2.837876382540085,63.30%,36.70%,62.12%,43.10%,0.0117624735528533,-0.0640090775235951,
2024-11-27,CONSENSUS PICK,Evan Mobley,8.645128836208597,8.5,2.837876382540085,52.04%,47.96%,58.68%,46.30%,-0.0663838633903333,0.016644040923238,
2024-11-27,CONSENSUS PICK,Bam Adebayo,9.275655488321384,9.5,2.837876382540085,46.85%,53.15%,55.36%,49.50%,-0.0850764571205554,0.0364555235986318,
2024-11-27,CONSENSUS PICK,Josh Green,2.469734183769463,3.5,2.837876382540085,35.83%,64.17%,51.22%,53.49%,-0.1539080376703041,0.1068291947888521,
2024-11-27,CONSENSUS PICK,Jaime Jaquez Jr.,4.186527632702194,3.5,2.837876382540085,59.56%,40.44%,58.68%,46.30%,0.008800504853027,-0.0585403273201223,
2024-11-27,CONSENSUS PICK,LaMelo Ball,4.210934129593075,5.5,2.837876382540085,32.48%,67.52%,58.33%,46.73%,-0.2585038782501857,0.2078808252906841,
2024-11-27,CONSENSUS PICK,Cody Martin,3.937949260436733,4.5,2.837876382540085,42.15%,57.85%,50.98%,54.13%,-0.0883022345397588,0.0372139093014066,
2024-11-27,CONSENSUS PICK,Brandon Miller,4.28559371230005,5.5,2.837876382540085,33.44%,66.56%,54.13%,50.98%,-0.2069325720346234,0.1558442467962713,
2024-11-27,CONSENSUS PICK,Tyler Herro,4.903596939155572,5.5,2.837876382540085,41.68%,58.32%,46.73%,58.33%,-0.0505176277626518,-0.0001054251968497,
2024-11-27,CONSENSUS PICK,Jimmy Butler,5.637936705456433,5.5,2.837876382540085,51.94%,48.06%,47.17%,58.33%,0.0476850862194667,-0.1027165327603472,
2024-11-27,CONSENSUS PICK,Zach LaVine,5.174266767225629,4.5,2.837876382540085,59.39%,40.61%,46.30%,58.68%,0.1309396314250887,-0.1806794538921839,
2024-11-27,CONSENSUS PICK,Josh Giddey,5.551964329043662,5.5,2.837876382540085,50.73%,49.27%,54.13%,50.98%,-0.033979783343104,-0.017108541895248,
2024-11-27,CONSENSUS PICK,Nikola Vucevic,8.779238908843267,9.5,2.837876382540085,39.98%,60.02%,51.92%,52.83%,-0.1194748899335197,0.0719422339102976,
2024-11-27,CONSENSUS PICK,Ayo Dosunmu,2.8914163544410694,2.5,2.837876382540085,55.49%,44.51%,61.83%,43.10%,-0.0634701428171881,0.0141150493715445,
2024-11-27,CONSENSUS PICK,Kentavious Caldwell-Pope,2.6132150595183243,2.5,2.837876382540085,51.59%,48.41%,51.22%,53.49%,0.0037161758046716,-0.0507950186861236,
2024-11-27,CONSENSUS PICK,Franz Wagner,5.421727125918985,5.5,2.837876382540085,48.90%,51.10%,58.68%,46.30%,-0.0977788891693662,0.048039066702271,
2024-11-27,CONSENSUS PICK,Coby White,4.705837601738903,3.5,2.837876382540085,66.45%,33.55%,43.48%,61.54%,0.2297656772137642,-0.2799329012940318,
2024-11-27,CONSENSUS PICK,Jalen Suggs,3.178678356138424,4.5,2.837876382540085,32.08%,67.92%,51.46%,53.27%,-0.1938129926045835,0.1465396054346353,
2024-11-27,CONSENSUS PICK,Alperen Sengun,9.235207216455631,10.5,2.837876382540085,32.79%,67.21%,49.02%,56.14%,-0.1622828947220539,0.1106833075187516,
2024-11-27,CONSENSUS PICK,Fred VanVleet,3.439607692015068,3.5,2.837876382540085,49.15%,50.85%,54.55%,50.50%,-0.0539437195509014,0.0035386790468511,
2024-11-27,CONSENSUS PICK,Tyrese Maxey,4.133716158566698,3.5,2.837876382540085,58.84%,41.16%,55.36%,49.50%,0.0347800755705557,-0.0834010090924793,
2024-11-27,CONSENSUS PICK,Amen Thompson,6.683273209936561,6.5,2.837876382540085,52.57%,47.43%,53.49%,51.22%,-0.0091374831659613,-0.0379413597154907,
2024-11-27,CONSENSUS PICK,Andre Drummond,8.428906111848766,7.5,2.837876382540085,62.83%,37.17%,58.68%,46.30%,0.0415118611217865,-0.0912516835888817,
2024-11-27,CONSENSUS PICK,Dillon Brooks,3.675813613472803,3.5,2.837876382540085,52.47%,47.53%,45.87%,59.02%,0.0659840850559176,-0.1148636158124224,
2024-11-27,CONSENSUS PICK,Jabari Smith Jr.,6.72350751383654,6.5,2.837876382540085,53.14%,46.86%,52.38%,52.38%,0.0075782071927176,-0.0551972548117652,
2024-11-27,CONSENSUS PICK,Kelly Oubre Jr.,4.986178123213938,5.5,2.837876382540085,42.82%,57.18%,46.73%,58.33%,-0.0391289230510719,-0.0114941299084296,
2024-11-27,CONSENSUS PICK,Jalen Green,4.741289104845716,4.5,2.837876382540085,53.39%,46.61%,50.98%,54.13%,0.0240751337226764,-0.0751634589610286,
2024-11-27,CONSENSUS PICK,Caleb Martin,4.038219585098138,4.5,2.837876382540085,43.54%,56.46%,56.52%,48.54%,-0.1298481040366349,0.0791938195284036,
2024-11-27,CONSENSUS PICK,Tyrese Haliburton,4.1386297809581984,3.5,2.837876382540085,58.90%,41.10%,49.02%,56.14%,0.0988290317637732,-0.1504286189670756,
2024-11-27,CONSENSUS PICK,Obi Toppin,4.282614943239991,3.5,2.837876382540085,60.86%,39.14%,43.10%,61.83%,0.1776050176758175,-0.226960111121461,
2024-11-27,CONSENSUS PICK,Bennedict Mathurin,4.3591622764518485,6.5,2.837876382540085,22.53%,77.47%,47.17%,57.98%,-0.2463876314296537,0.1948575854489972,
2024-11-27,CONSENSUS PICK,Anfernee Simons,3.937053769635489,2.5,2.837876382540085,69.37%,30.63%,62.12%,43.10%,0.0724941503945737,-0.1247407543653156,
2024-11-27,CONSENSUS PICK,Shaedon Sharpe,4.333432916159877,4.5,2.837876382540085,47.66%,52.34%,46.30%,58.68%,0.0136348485408597,-0.063374671007955,
2024-11-27,CONSENSUS PICK,T.J. McConnell,3.409759426490389,2.5,2.837876382540085,62.57%,37.43%,57.26%,47.62%,0.0530851467175758,-0.1019251955576245,
2024-11-27,CONSENSUS PICK,Pascal Siakam,7.033356790877348,6.5,2.837876382540085,57.45%,42.55%,54.13%,50.98%,0.0332546239866343,-0.0843429492249865,
2024-11-27,CONSENSUS PICK,Myles Turner,7.079573858034167,8.5,2.837876382540085,30.84%,69.16%,46.30%,58.68%,-0.1546099943494509,0.1048701718823557,
2024-11-27,CONSENSUS PICK,Norman Powell,3.1301173735869736,3.5,2.837876382540085,44.81%,55.19%,43.48%,61.54%,0.0133669701834243,-0.0635341942636918,
2024-11-27,CONSENSUS PICK,Ivica Zubac,8.419776976142947,12.5,2.837876382540085,7.52%,92.48%,53.49%,51.22%,-0.4596345338322617,0.4125556909508097,
2024-11-27,CONSENSUS PICK,James Harden,4.128154391214735,6.5,2.837876382540085,20.16%,79.84%,52.38%,52.38%,-0.3221707078821869,0.2745516602631392,
2024-11-27,CONSENSUS PICK,Bilal Coulibaly,4.21945892392596,5.5,2.837876382540085,32.59%,67.41%,43.10%,61.83%,-0.1051233643711563,0.0557682709255127,
2024-11-27,CONSENSUS PICK,Terance Mann,2.73001001316676,3.5,2.837876382540085,39.31%,60.69%,54.55%,50.50%,-0.1523844358930917,0.1019793953890413,
2024-11-27,CONSENSUS PICK,Kyle Kuzma,6.118114733119374,6.5,2.837876382540085,44.65%,55.35%,47.17%,57.98%,-0.0252211012766453,-0.0263089447040111,
2024-11-27,CONSENSUS PICK,Malcolm Brogdon,3.47035974973914,3.5,2.837876382540085,49.58%,50.42%,47.62%,57.26%,0.0196428398350572,-0.0684828886751059,
2024-11-27,CONSENSUS PICK,Jordan Poole,3.435336655820441,2.5,2.837876382540085,62.91%,37.09%,52.38%,52.38%,0.1053357167151943,-0.152954764334242,
2024-11-27,CONSENSUS PICK,Kris Dunn,3.133372879796393,3.5,2.837876382540085,44.86%,55.14%,58.68%,46.30%,-0.1381734658755506,0.0884336434084554,
2024-11-27,CONSENSUS PICK,OG Anunoby,4.182564830523663,5.5,2.837876382540085,32.12%,67.88%,45.45%,59.68%,-0.1333049562642523,0.0819853081704107,
2024-11-27,CONSENSUS PICK,Karl-Anthony Towns,6.528183656770615,11.5,2.837876382540085,3.99%,96.01%,54.95%,50.00%,-0.5096583107079629,0.4601087611584132,
2024-11-27,CONSENSUS PICK,P.J. Washington,5.608524307361203,8.5,2.837876382540085,15.41%,84.59%,48.08%,56.90%,-0.3266409510656611,0.276906203055051,
2024-11-27,CONSENSUS PICK,Jalen Brunson,4.662756608795344,2.5,2.837876382540085,77.70%,22.30%,61.83%,43.10%,0.1586803863587119,-0.2080354798043555,
2024-11-27,CONSENSUS PICK,Kyrie Irving,4.995964509551705,4.5,2.837876382540085,56.94%,43.06%,51.46%,53.27%,0.0548051690837336,-0.1020785562536819,
2024-11-27,CONSENSUS PICK,Josh Hart,5.780764048581319,8.5,2.837876382540085,16.90%,83.10%,47.62%,57.26%,-0.3072079898966012,0.2583679410565525,
2024-11-27,CONSENSUS PICK,Mikal Bridges,5.003642042182006,3.5,2.837876382540085,70.19%,29.81%,58.68%,46.30%,0.1151143471345612,-0.1648541696016564,
2024-11-27,CONSENSUS PICK,Klay Thompson,4.156966116256323,3.5,2.837876382540085,59.15%,40.85%,49.02%,56.14%,0.1013404186819342,-0.1529400058852366,
2024-11-27,CONSENSUS PICK,Tobias Harris,5.901709291876664,6.5,2.837876382540085,41.65%,58.35%,51.46%,53.27%,-0.0980505621772818,0.0507771750073335,
2024-11-27,CONSENSUS PICK,Malik Beasley,3.721825209796968,3.5,2.837876382540085,53.12%,46.88%,45.87%,59.02%,0.0724363670070081,-0.1213158977635129,
