Date,Model,Player,Exact Prediction,Betting Line,Standard Deviation Estimate (RMSE),Probability Over Line,Probability Under Line,Implied Probability Over (from odds),Implied Probability Under (from odds),Edge Over,Edge Under,Result
2024-11-20,CONSENSUS PICK,Giannis Antetokounmpo,11.467981562813094,12.5,2.837876382540085,35.81%,64.19%,53.05%,53.05%,-0.1724599884367533,0.1114271245869881,
2024-11-20,CONSENSUS PICK,Damian Lillard,4.193595417795492,3.5,2.837876382540085,59.65%,40.35%,61.54%,44.64%,-0.0188426216737469,-0.0429705651394398,
2024-11-20,CONSENSUS PICK,Coby White,3.5446604508479305,3.5,2.837876382540085,50.63%,49.37%,45.87%,60.00%,0.0475624102848973,-0.1062780066151725,
2024-11-20,CONSENSUS PICK,Brook Lopez,5.123031068682839,4.5,2.837876382540085,58.69%,41.31%,56.14%,50.00%,0.0254822851487352,-0.086885793920665,
2024-11-20,CONSENSUS PICK,Zach LaVine,3.8652928905880937,4.5,2.837876382540085,41.15%,58.85%,57.98%,48.08%,-0.1683193069062302,0.1077181433638901,
2024-11-20,CONSENSUS PICK,Nikola Vucevic,8.012362780577028,9.5,2.837876382540085,30.01%,69.99%,56.90%,49.02%,-0.2688985439013384,0.2097369482285865,
2024-11-20,CONSENSUS PICK,Taurean Prince,3.303031333443986,3.5,2.837876382540085,47.23%,52.77%,61.54%,44.64%,-0.1430518121118874,0.0812386252987005,
2024-11-20,CONSENSUS PICK,Josh Giddey,4.323264465178501,6.5,2.837876382540085,22.15%,77.85%,45.87%,60.00%,-0.23718367441783,0.1784680780875548,
2024-11-20,CONSENSUS PICK,Evan Mobley,8.841443331944822,8.5,2.837876382540085,54.79%,45.21%,50.00%,56.14%,0.0478837799775921,-0.1092872887495219,
2024-11-20,CONSENSUS PICK,Donovan Mitchell,4.539555627825675,3.5,2.837876382540085,64.29%,35.71%,59.35%,46.73%,0.0494389068259821,-0.1102245614115,
2024-11-20,CONSENSUS PICK,Javonte Green,7.154827656915128,5.5,2.837876382540085,72.01%,27.99%,53.49%,52.61%,0.1852106330422581,-0.2461607046833911,
2024-11-20,CONSENSUS PICK,Jarrett Allen,9.460898323585663,10.5,2.837876382540085,35.71%,64.29%,51.46%,54.55%,-0.1574382724753796,0.0974206202247177,
2024-11-20,CONSENSUS PICK,Fred VanVleet,4.066689480752118,4.5,2.837876382540085,43.93%,56.07%,44.64%,61.54%,-0.0071065273510462,-0.0547066594621405,
2024-11-20,CONSENSUS PICK,Myles Turner,6.604499737429023,7.5,2.837876382540085,37.62%,62.38%,48.08%,57.98%,-0.1045983032311055,0.0439971396887655,
2024-11-20,CONSENSUS PICK,Tyrese Haliburton,4.040690581184231,3.5,2.837876382540085,57.56%,42.44%,58.33%,47.62%,-0.0077816332165179,-0.0517421763072916,
2024-11-20,CONSENSUS PICK,Pascal Siakam,6.429233655518299,7.5,2.837876382540085,35.30%,64.70%,46.30%,59.68%,-0.1099922856774797,0.0502551291661296,
2024-11-20,CONSENSUS PICK,Dillon Brooks,3.6747385551039415,3.5,2.837876382540085,52.45%,47.55%,44.64%,61.54%,0.0781202686508665,-0.1399334554640534,
2024-11-20,CONSENSUS PICK,Bennedict Mathurin,4.149236283652074,5.5,2.837876382540085,31.70%,68.30%,56.52%,49.50%,-0.2481719879978142,0.1879050917429714,
2024-11-20,CONSENSUS PICK,Alperen Sengun,9.886826805093673,10.5,2.837876382540085,41.45%,58.55%,58.68%,47.17%,-0.172309339855639,0.1138343671439595,
2024-11-20,CONSENSUS PICK,Jabari Smith Jr.,6.853908796049694,6.5,2.837876382540085,54.96%,45.04%,47.62%,58.33%,0.0734325675797565,-0.1329563771035661,
2024-11-20,CONSENSUS PICK,Joel Embiid,10.28750388631346,8.5,2.837876382540085,73.56%,26.44%,54.95%,50.98%,0.1860618615961287,-0.2454153327143057,
2024-11-20,CONSENSUS PICK,Scotty Pippen Jr.,3.0342108034965225,3.5,2.837876382540085,43.48%,56.52%,45.87%,60.00%,-0.0239023788787794,-0.0348132174514957,
2024-11-20,CONSENSUS PICK,Brandon Clarke,5.279600036988083,5.5,2.837876382540085,46.90%,53.10%,47.17%,58.68%,-0.0026503257950466,-0.0558246469166328,
2024-11-20,CONSENSUS PICK,Paul George,4.978484121937353,5.5,2.837876382540085,42.71%,57.29%,53.05%,53.05%,-0.1034193941307651,0.0423865302809999,
2024-11-20,CONSENSUS PICK,Jaren Jackson Jr.,5.922588632101622,6.5,2.837876382540085,41.94%,58.06%,45.05%,60.94%,-0.0310650431289571,-0.0287604073214933,
2024-11-20,CONSENSUS PICK,Desmond Bane,3.885236395049905,4.5,2.837876382540085,41.42%,58.58%,58.68%,47.17%,-0.1725277444747945,0.1140527717631151,
