Date,Model,Player,Exact Prediction,Betting Line,Standard Deviation Estimate (RMSE),Probability Over Line,Probability Under Line,Implied Probability Over (from odds),Implied Probability Under (from odds),Edge Over,Edge Under,Result
2024-11-13,CONSENSUS PICK,Goga Bitadze,6.704761071859664,7.5,2.837876382540085,38.97%,61.03%,62.55%,43.86%,-0.2358150477668388,0.1717503917447612,
2024-11-13,CONSENSUS PICK,Jalen Suggs,3.183164445420065,4.5,2.837876382540085,32.13%,67.87%,51.92%,54.55%,-0.1979145854895296,0.1332292708042149,
2024-11-13,CONSENSUS PICK,Kentavious Caldwell-Pope,2.5590426864031763,2.5,2.837876382540085,50.83%,49.17%,60.32%,46.08%,-0.0948751138418741,0.0308710175797134,
2024-11-13,CONSENSUS PICK,Myles Turner,7.919385520301319,8.5,2.837876382540085,41.89%,58.11%,48.31%,58.16%,-0.0641473908706114,-0.0005343547279978,
2024-11-13,CONSENSUS PICK,Bennedict Mathurin,4.632166072999275,5.5,2.837876382540085,37.99%,62.01%,60.32%,46.08%,-0.2232976588228618,0.159293562560701,
2024-11-13,CONSENSUS PICK,Pascal Siakam,8.545965407297812,7.5,2.837876382540085,64.38%,35.62%,47.17%,59.18%,0.1720789794174416,-0.2356138273188663,
2024-11-13,CONSENSUS PICK,Tyrese Haliburton,4.090233710801596,4.5,2.837876382540085,44.26%,55.74%,46.51%,59.84%,-0.0225207625005695,-0.0409890908663866,
2024-11-13,CONSENSUS PICK,Franz Wagner,5.530074729253028,5.5,2.837876382540085,50.42%,49.58%,59.51%,46.95%,-0.0909139417310938,0.0262886732511182,
2024-11-13,CONSENSUS PICK,Anthony Black,2.426448287617185,2.5,2.837876382540085,48.97%,51.03%,64.91%,41.67%,-0.1594613838718891,0.0936719101876785,
2024-11-13,CONSENSUS PICK,Jaylen Brown,5.425945158819897,5.5,2.837876382540085,48.96%,51.04%,57.45%,48.78%,-0.0848773667613407,0.0226044036061772,
2024-11-13,CONSENSUS PICK,Nicolas Claxton,10.395078980974503,9.5,2.837876382540085,62.38%,37.62%,59.51%,46.95%,0.0286310242389522,-0.0932562927189278,
2024-11-13,CONSENSUS PICK,Derrick White,4.074351215498223,4.5,2.837876382540085,44.04%,55.96%,50.00%,56.52%,-0.0596131506690085,-0.0056042406353392,
2024-11-13,CONSENSUS PICK,Cam Thomas,3.197342847336616,3.5,2.837876382540085,45.75%,54.25%,48.54%,57.81%,-0.027903237582204,-0.0355927273516373,
2024-11-13,CONSENSUS PICK,Dorian Finney-Smith,5.028441462980517,4.5,2.837876382540085,57.39%,42.61%,47.17%,59.18%,0.1021619149984592,-0.165696762899884,
2024-11-13,CONSENSUS PICK,Cameron Johnson,4.5059022825955966,3.5,2.837876382540085,63.85%,36.15%,60.94%,45.45%,0.0291264096747132,-0.0930468642201678,
2024-11-13,CONSENSUS PICK,Dennis Schroder,3.191791362031379,2.5,2.837876382540085,59.63%,40.37%,60.94%,45.45%,-0.0130791728565851,-0.0508412816888693,
2024-11-13,CONSENSUS PICK,Jrue Holiday,4.93702561975496,4.5,2.837876382540085,56.12%,43.88%,51.22%,55.16%,0.0489989901401889,-0.1127636188178659,
2024-11-13,CONSENSUS PICK,Neemias Queta,4.054657156978377,7.5,2.837876382540085,11.24%,88.76%,56.14%,50.25%,-0.4490404726538284,0.3851494016928438,
2024-11-13,CONSENSUS PICK,Sam Hauser,4.1538823873568615,3.5,2.837876382540085,59.11%,40.89%,47.17%,59.18%,0.1194162891133937,-0.1829511370148184,
2024-11-13,CONSENSUS PICK,Payton Pritchard,3.117110506468284,2.5,2.837876382540085,58.61%,41.39%,59.51%,46.95%,-0.0090685733300144,-0.0555566951499612,
2024-11-13,CONSENSUS PICK,Jayson Tatum,6.989435618119448,8.5,2.837876382540085,29.73%,70.27%,47.17%,59.18%,-0.1744344563473373,0.1108996084459126,
2024-11-13,CONSENSUS PICK,Coby White,4.170207071219233,3.5,2.837876382540085,59.33%,40.67%,50.25%,56.14%,0.0908601184967496,-0.1547511894577342,
2024-11-13,CONSENSUS PICK,Patrick Williams,3.578378232335375,4.5,2.837876382540085,37.27%,62.73%,53.27%,53.27%,-0.1600279912203964,0.094607430472733,
2024-11-13,CONSENSUS PICK,Zach LaVine,4.688366014254027,4.5,2.837876382540085,52.65%,47.35%,45.87%,60.63%,0.0677450432039007,-0.1327598521326012,
2024-11-13,CONSENSUS PICK,Nikola Vucevic,7.903126000864556,9.5,2.837876382540085,28.68%,71.32%,50.50%,55.95%,-0.2181310179565456,0.1537091572682741,
2024-11-13,CONSENSUS PICK,Jalen Brunson,5.290609961743365,3.5,2.837876382540085,73.60%,26.40%,53.27%,53.27%,0.2032590850895996,-0.2686796458372631,
2024-11-13,CONSENSUS PICK,Josh Hart,5.955472819736979,10.5,2.837876382540085,5.46%,94.54%,47.17%,59.18%,-0.417052062594207,0.3535172146927823,
2024-11-13,CONSENSUS PICK,OG Anunoby,4.607085605247881,5.5,2.837876382540085,37.65%,62.35%,45.45%,60.94%,-0.0780286169851956,0.0141081624397411,
2024-11-13,CONSENSUS PICK,Josh Giddey,4.562791510035197,5.5,2.837876382540085,37.06%,62.94%,59.84%,46.51%,-0.2277880148342614,0.1642781614673052,
2024-11-13,CONSENSUS PICK,Mikal Bridges,5.3702948508422566,4.5,2.837876382540085,62.05%,37.95%,47.85%,58.51%,0.1419842598095085,-0.20551539999494,
2024-11-13,CONSENSUS PICK,Karl-Anthony Towns,6.786204006083229,11.5,2.837876382540085,4.84%,95.16%,50.50%,55.95%,-0.4565967200253943,0.3921748593371228,
2024-11-13,CONSENSUS PICK,Ayo Dosunmu,2.385405273360924,3.5,2.837876382540085,34.72%,65.28%,44.25%,62.12%,-0.0952282512000547,0.0315382538817388,
2024-11-13,CONSENSUS PICK,Jarrett Allen,9.629096293461872,10.5,2.837876382540085,37.95%,62.05%,53.49%,52.83%,-0.1554185374801363,0.092232929757451,
2024-11-13,CONSENSUS PICK,Darius Garland,2.715622800312667,2.5,2.837876382540085,53.03%,46.97%,53.49%,52.83%,-0.0046010923201383,-0.0585845154025469,
2024-11-13,CONSENSUS PICK,Donovan Mitchell,4.499118227327505,4.5,2.837876382540085,49.99%,50.01%,48.54%,57.81%,0.0144391491786302,-0.0779351141124715,
2024-11-13,CONSENSUS PICK,Evan Mobley,8.524415501653918,10.5,2.837876382540085,24.32%,75.68%,48.31%,58.16%,-0.239923992140314,0.1752422465417047,
2024-11-13,CONSENSUS PICK,Kelly Oubre Jr.,4.661385834285183,5.5,2.837876382540085,38.38%,61.62%,48.54%,57.81%,-0.1016338365304567,0.0381378715966154,
2024-11-13,CONSENSUS PICK,Kyle Lowry,3.5772101669203478,2.5,2.837876382540085,64.79%,35.21%,62.12%,44.44%,0.0266604578988143,-0.0923170235553799,
2024-11-13,CONSENSUS PICK,Caleb Martin,3.938587157843464,4.5,2.837876382540085,42.16%,57.84%,59.18%,47.17%,-0.1702471131304723,0.1067122652290476,
2024-11-13,CONSENSUS PICK,Andre Drummond,7.669643263231882,11.5,2.837876382540085,8.86%,91.14%,48.54%,57.81%,-0.3968850163634635,0.3333890514296221,
2024-11-13,CONSENSUS PICK,Luguentz Dort,3.767157271344467,4.5,2.837876382540085,39.81%,60.19%,47.62%,58.85%,-0.0780782083190015,0.0134103658733814,
2024-11-13,CONSENSUS PICK,Shai Gilgeous-Alexander,5.690266235475014,6.5,2.837876382540085,38.77%,61.23%,45.05%,61.39%,-0.0627551218609029,-0.0015949424891613,
2024-11-13,CONSENSUS PICK,Brandon Ingram,4.246936463245476,5.5,2.837876382540085,32.94%,67.06%,57.45%,48.78%,-0.2450605494655705,0.182787586310407,
2024-11-13,CONSENSUS PICK,Trey Murphy III,5.233906654529545,4.5,2.837876382540085,60.20%,39.80%,59.51%,46.73%,0.0068906843259168,-0.0693221043569433,
2024-11-13,CONSENSUS PICK,Jalen Williams,4.471347330492482,6.5,2.837876382540085,23.74%,76.26%,51.22%,55.16%,-0.2748438989472741,0.2110792702695971,
2024-11-13,CONSENSUS PICK,Tobias Harris,6.113849495541118,7.5,2.837876382540085,31.26%,68.74%,49.02%,57.45%,-0.1775792372762889,0.1129150737385333,
2024-11-13,CONSENSUS PICK,Cade Cunningham,4.257569108065503,6.5,2.837876382540085,21.47%,78.53%,46.95%,59.51%,-0.2547720075193226,0.1901467390393469,
2024-11-13,CONSENSUS PICK,Giannis Antetokounmpo,10.47553467463141,11.5,2.837876382540085,35.91%,64.09%,50.74%,55.56%,-0.1483383789306971,0.0853936608135651,
2024-11-13,CONSENSUS PICK,Brook Lopez,4.897976244098076,4.5,2.837876382540085,55.58%,44.42%,57.45%,48.78%,-0.0187043190313994,-0.043568644123764,
2024-11-13,CONSENSUS PICK,Taurean Prince,3.18512288594151,3.5,2.837876382540085,45.58%,54.42%,59.51%,46.95%,-0.1393157602979571,0.0746904918179814,
2024-11-13,CONSENSUS PICK,Jalen Duren,10.089698564484149,10.5,2.837876382540085,44.25%,55.75%,53.49%,52.83%,-0.0923626528542675,0.0291770451315822,
