Date,Model,Player,Exact Prediction,Betting Line,Standard Deviation Estimate (RMSE),Probability Over Line,Probability Under Line,Implied Probability Over (from odds),Implied Probability Under (from odds),Edge Over,Edge Under,Result
2024-11-09,CONSENSUS PICK,Walker Kessler,8.085223227240045,10.5,2.837876382540085,19.74%,80.26%,48.78%,57.45%,-0.2903951426519024,0.2281221794967389,
2024-11-09,CONSENSUS PICK,Julian Champagnie,3.808781444171355,4.5,2.837876382540085,40.38%,59.62%,50.50%,55.95%,-0.1011681537996391,0.0367462931113676,
2024-11-09,CONSENSUS PICK,Chris Paul,4.277992008241395,3.5,2.837876382540085,60.80%,39.20%,54.13%,52.38%,0.0667293230598592,-0.1318232505391078,
2024-11-09,CONSENSUS PICK,Harrison Barnes,4.00436072446787,3.5,2.837876382540085,57.05%,42.95%,55.56%,50.74%,0.0149748507268958,-0.0779195688440279,
2024-11-09,CONSENSUS PICK,Lauri Markkanen,6.775428699175592,7.5,2.837876382540085,39.92%,60.08%,50.00%,56.52%,-0.100762662935146,0.0355452716307982,
2024-11-09,CONSENSUS PICK,Victor Wembanyama,10.254013015917067,10.5,2.837876382540085,46.55%,53.45%,56.52%,49.75%,-0.0997544344612345,0.0370246053459414,
2024-11-09,CONSENSUS PICK,Collin Sexton,3.9268558708216816,2.5,2.837876382540085,69.24%,30.76%,56.52%,50.00%,0.1272266466994728,-0.1924440380038205,
2024-11-09,CONSENSUS PICK,Keldon Johnson,5.310303876723172,5.5,2.837876382540085,47.34%,52.66%,51.92%,54.55%,-0.0458779781446031,-0.0188073365407115,
2024-11-09,CONSENSUS PICK,Devin Vassell,4.015054770885415,2.5,2.837876382540085,70.33%,29.67%,52.83%,53.49%,0.1749820940214179,-0.2381677017441033,
2024-11-09,CONSENSUS PICK,Zach LaVine,3.9263133674110207,4.5,2.837876382540085,41.99%,58.01%,52.83%,53.49%,-0.1084035232249258,0.0452179155022405,
2024-11-09,CONSENSUS PICK,Clint Capela,9.253461619860497,7.5,2.837876382540085,73.17%,26.83%,58.85%,47.62%,0.1431947801824319,-0.2078626226280521,
2024-11-09,CONSENSUS PICK,Trae Young,3.491196002179989,3.5,2.837876382540085,49.88%,50.12%,47.85%,58.51%,0.0202934562475048,-0.0838245964329363,
2024-11-09,CONSENSUS PICK,Jalen Johnson,6.95768012402942,9.5,2.837876382540085,18.52%,81.48%,52.38%,54.13%,-0.3386438659775098,0.2735499384982612,
2024-11-09,CONSENSUS PICK,Dyson Daniels,3.836774098812827,4.5,2.837876382540085,40.76%,59.24%,57.81%,48.54%,-0.170452068994148,0.1069561040603066,
